snapshot_date,snapshot_at_utc,wallet,rank,pnl,volume,raw_window,raw_rank_type,raw_offset
2026-08-19,2026-08-19T02:52:38Z,0x019782cab5d844f02bafb71f512758be78579f3c,35,3668541.581104434,9413714.671942003,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,36,3648171.807038882,196877473.57847697,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x9319a045cdd0c2180e5eb7ad44374383db9a6410,37,3622315.7843559403,9424885.913271999,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,38,3602928.8865713677,84269215.724856,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,39,3588720.218017629,402061725.7541301,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x5966db1fe50763c9e3c014d756369bad07e1f804,40,3582414.8586175856,28365376.579825006,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x476e1322d1a412fa0325527b8c3bc5e707b1396d,41,3562639.5541690006,8005463.485681,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x14964aefa2cd7caff7878b3820a690a03c5aa429,42,3530847.5828185184,87349857.862805,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x94a428cfa4f84b264e01f70d93d02bc96cb36356,43,3454812.489284662,18121447.582862947,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xee00ba338c59557141789b127927a55f5cc5cea1,44,3426326.3175715525,210484826.31553403,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,45,3386560.950209346,497519919.68930507,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x033a07b3de5947eab4306676ad74eb546da30d50,46,3115550.407118868,8794464.960355,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,47,3095469.4479448786,108238998.67078398,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xed2239a9150c3920000d0094d28fa51c7db03dd0,48,3095007.670859059,8450962.774299005,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x17db3fcd93ba12d38382a0cade24b200185c5f6d,49,3035821.2602240294,17474400.208287995,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x36a3f17401e395ef4cb1b7f42bcdb8ab8e15fafb,50,2930573.327551775,22628416.902675007,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xd6505aab3c6bef32ae6c96dbd8023d7c4df114fb,51,2815019.1047309996,35424937.797886014,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x9495425feeb0c250accb89275c97587011b19a27,52,2780852.8625654997,116293159.724131,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,53,2763584.8014614545,892466828.0474402,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,54,2673262.1587221543,33440214.718339995,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,55,2628295.120194007,137291696.544426,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x343d4466dc323b850e5249394894c7381d91456e,56,2604547.667341,8132604.965826999,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,57,2459616.1625784733,99804798.65589099,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xd7f85d0eb0fe0732ca38d9107ad0d4d01b1289e4,58,2435164.729449568,15657710.939503998,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x9cb990f1862568a63d8601efeebe0304225c32f2,59,2407500.975660662,89690651.30821002,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,60,2381201.950364092,199882418.23905903,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,61,2358020.946366217,347601409.7627258,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xb786b8b6335e77dfad19928313e97753039cb18d,62,2334029.727268943,98720533.05893701,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,63,2310857.9291402893,14869434.037083017,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,64,2301450.1980166486,41938307.85249401,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,65,2282133.859216262,120653816.223527,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x0c0e270cf879583d6a0142fc817e05b768d0434e,66,2232589.438720714,128827497.67534599,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0xa9878e59934ab507f9039bcb917c1bae0451141d,67,2203325.1787400623,53607989.67895801,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,68,2189691.024553702,250108666.16692394,ALL,PNL,50
2026-08-19,2026-08-19T02:52:38Z,0x5268527977f700f9bf9b6d5cd843859e4e70135d,69,2188010.5257791425,250847537.8352261,ALL,PNL,50
