market_mode,match_id,season,division,commence_time,home_team,away_team,actual_scoreline,model_scoreline,model_expected_points,model_points,naive_scoreline,naive_points,p_exact,p_close,p_outcome,lambda_home,lambda_away,has_totals,fair_total_line,fair_over,model_over,has_asian_handicap,fair_ah_line,fair_ah_home_cover,model_ah_home_cover,model_ah_error,asian_handicap_weight,raw_ah_line,home_goals,away_goals,actual_result,model_home_win,model_draw,model_away_win,brier_1x2,log_loss_1x2,rps_1x2,exact_log_loss,total_goals_crps,devig_method,dixon_coles_rho,ci_cutoff
h2h,fdl-2122-F1-0,2122,F1,2021-08-06T00:00:00Z,Monaco,Nantes,1-1,2-0,1.1378705600586445,0.0,1-0,0.0,0.13900598789728272,0.5205042892085373,0.6691094336084518,1.9234389052826653,0.6648873390399995,False,,,,False,,,,,0.0,-1.25,1,1,draw,0.6691094336084519,0.2143955049229536,0.11649506146859456,1.078452956175656,1.5399328158497094,0.23063926674519744,2.30312272276488,0.3915958888203113,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-1,2122,F1,2021-08-07T00:00:00Z,Lyon,Brest,1-1,2-0,1.1883806189671258,0.0,1-0,0.0,0.14606337931309596,0.5362130843416328,0.7011790078266655,2.0206383986109304,0.6167651980270819,False,,,,False,,,,,0.0,-1.5,1,1,draw,0.7011790078266654,0.19979073128049432,0.09903026089284023,1.141793867333897,1.6104848038312485,0.25072949679464546,2.3780271350292352,0.4060124438578552,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-2,2122,F1,2021-08-07T00:00:00Z,Troyes,Paris SG,1-2,0-2,1.2181164835204539,1.5,0-1,1.5,0.15199650507752435,0.5481997827176402,0.7160218345453472,0.5765777967714678,2.044012229556995,False,,,,False,,,,,0.0,1.5,1,2,away,0.08977770270164871,0.19420046275300415,0.7160218345453472,0.12641745409085675,0.33404461731139395,0.04435181717868791,2.434542752990613,0.4275995452073556,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-3,2122,F1,2021-08-08T00:00:00Z,Rennes,Lens,1-1,2-0,0.8458101111842524,0.0,1-0,0.0,0.09536767794747275,0.4051194510828219,0.5001988687216324,1.550983384315318,0.9836641105781971,False,,,,False,,,,,0.0,-0.5,1,1,draw,0.5001988687216324,0.26468846341932356,0.23511266785904406,0.8461599306868335,1.3292017543055101,0.152738437429099,2.0730076322981112,0.37673138084091357,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-4,2122,F1,2021-08-08T00:00:00Z,Bordeaux,Clermont,0-2,2-1,0.6550868759301863,0.0,1-0,0.0,0.08193137816189057,0.3093924067853197,0.37749360529469056,1.2688019540194264,1.1901489859293863,False,,,,False,,,,,0.0,0.0,0,2,away,0.3774936052946906,0.28276044845332304,0.33974594625198645,0.6583903087385927,1.0795571575835479,0.28921841876453414,2.8039409601120195,0.3583163225270004,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-5,2122,F1,2021-08-08T00:00:00Z,Nice,Reims,0-0,2-0,0.9033418196957375,0.0,1-0,0.0,0.10478685024718283,0.4316276234483632,0.5303477326007816,1.58723493000253,0.8994327611985381,False,,,,False,,,,,0.0,-0.5,0,0,draw,0.5303477326007816,0.2611898682093436,0.2084623991898749,0.8705657001873159,1.342507671729802,0.16236264467539444,2.431133224803706,1.6184136952061876,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-6,2122,F1,2021-08-08T00:00:00Z,St Etienne,Lorient,1-1,2-0,0.7417117077645315,0.0,1-0,0.0,0.08151492260472469,0.3613017346129197,0.43878845655098464,1.416197899621257,1.0935759271249565,False,,,,False,,,,,0.0,-0.25,1,1,draw,0.4387884565509846,0.27524226807154173,0.28596927537747363,0.7995875060523956,1.290103594340501,0.13715686803115631,2.0331240337831575,0.37036338828961635,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-7,2122,F1,2021-08-08T00:00:00Z,Strasbourg,Angers,0-2,2-0,0.796696699468279,0.0,1-0,0.0,0.08934095259544797,0.38584508678499174,0.46976272718261125,1.47039845370143,1.0228169760680952,False,,,,False,,,,,0.0,-0.5,0,2,away,0.46976272718261114,0.2722008217078463,0.25803645110954243,0.8452802150705935,1.3546544206697553,0.3855934638660834,3.1412410186530084,0.3663518562644105,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-8,2122,F1,2021-08-08T00:00:00Z,Metz,Lille,3-3,0-2,0.9014520646365353,0.0,0-1,0.0,0.10589430369689418,0.43352836636679265,0.5258464259077976,0.8782952182860227,1.5486865825980773,False,,,,False,,,,,0.0,0.5,3,3,draw,0.20856079979088699,0.26559277430131545,0.5258464259077976,0.8593660440078579,1.3257910669407567,0.1600060354247096,5.087595876594526,2.749802723470246,multiplicative,-0.04,1.5
h2h,fdl-2122-F1-9,2122,F1,2021-08-08T00:00:00Z,Montpellier,Marseille,2-3,0-2,0.7742048560189029,1.0,0-1,1.0,0.08518100282678862,0.3738656031902152,0.45950055018361236,1.0725200849364172,1.4760520547982916,False,,,,False,,,,,0.0,0.5,2,3,away,0.2700971960959557,0.27040225372043203,0.4595005501836123,0.4382095294078039,0.7776151398343106,0.1825460752953575,3.725343120002166,1.7066422532127914,multiplicative,-0.04,1.5
