market_mode,devig_method,dixon_coles_rho,ci_cutoff,matches,avg_model_points,avg_naive_points,edge_vs_naive,exact_hits,close_hits,outcome_only_hits,misses
h2h,multiplicative,-0.04,1.5,5404,0.9001665433012583,0.8520540340488527,0.04811250925240562,577,1543,819,2465
h2h,power,-0.04,1.5,5404,0.8993338267949667,0.8526091783863805,0.046724648408586145,572,1554,813,2465
h2h,multiplicative,-0.08,1.5,5404,0.8943375277572169,0.8520540340488527,0.04228349370836415,565,1586,759,2494
h2h,power,-0.08,1.5,5404,0.8928571428571429,0.8526091783863805,0.0402479644707624,559,1596,754,2495
h2h_totals,multiplicative,-0.04,1.5,5404,0.9044226498889711,0.8917468541820873,0.012675795706883819,600,1517,812,2475
h2h_totals,multiplicative,-0.08,1.5,5404,0.9038675055514434,0.8917468541820873,0.012120651369356028,595,1549,776,2484
h2h_totals,power,-0.04,1.5,5404,0.9036824574389342,0.8931347150259067,0.010547742413027472,598,1517,814,2475
h2h_totals,power,-0.08,1.5,5404,0.9025721687638786,0.8931347150259067,0.00943745373797189,589,1555,778,2482
