commence_time,match,selection,best_odds,book,sharp_book,edge,kelly_fraction,stake,expected_roi,expected_profit
2026-06-26T02:00:00Z,Paraguay v Australia,Draw,2.36,gtbets,pinnacle,0.0154,0.0057,16.9853,0.0154,0.2616
2026-06-27T00:00:00Z,Cape Verde v Saudi Arabia,Saudi Arabia,2.55,coolbet,pinnacle,0.0135,0.0044,13.0645,0.0135,0.1764
2026-06-25T01:00:00Z,Czech Republic v Mexico,Mexico,2.04,coolbet,pinnacle,0.0094,0.0045,13.5577,0.0094,0.1274
2026-06-23T17:00:00Z,Portugal v Uzbekistan,Portugal,1.25,gtbets,pinnacle,0.0084,0.0168,50.4,0.0084,0.4234
2026-06-27T03:00:00Z,Egypt v Iran,Egypt,2.16,smarkets,pinnacle,0.007,0.003,9.0517,0.007,0.0634
2026-06-26T19:00:00Z,Senegal v Iraq,Senegal,1.37,gtbets,pinnacle,0.0038,0.0051,15.4054,0.0038,0.0585
2026-06-25T23:00:00Z,Japan v Sweden,Japan,2.1,gtbets,pinnacle,0.0003,0.0001,0.4091,0.0003,0.0001
