source,home_team,away_team,actual_score,actual_outcome,p_home,p_draw,p_away,model_pick,fav_prob,fair_odds,fav_correct,brier,log_loss,rps,profit_fair,profit_vig,profit_always_home_fair,profit_random_fair
market_history_devig_consensus,Netherlands,Sweden,5-1,home,0.5663,0.2367,0.197,home,0.5663144624080338,1.766,True,0.2829143315642706,0.5686057677670865,0.11344075941237948,0.7658033943683615,0.6775132246499433,0.7658033943683615,0.7658033943683615
market_history_devig_consensus,Germany,Ivory Coast,2-1,home,0.6449,0.2054,0.1497,home,0.644905066788548,1.551,True,0.19069492272364472,0.4386521562924545,0.07424407812294874,0.5506158216118975,0.4730850305313026,0.5506158216118975,-1.0
market_history_devig_consensus,Tunisia,Japan,0-4,away,0.1402,0.2344,0.6254,away,0.6253631834853051,1.599,True,0.21497047710317946,0.46942270443874234,0.0800035948703223,0.5990707902354444,0.5191172507236721,-1.0,-1.0
market_history_devig_consensus,Spain,Saudi Arabia,4-0,home,0.8756,0.0846,0.0398,home,0.875580312097301,1.142,True,0.02422706174780349,0.13286839862813446,0.008531141741574192,0.14209968655493532,0.08499470222718841,0.14209968655493532,-1.0
market_history_devig_consensus,Belgium,Iran,0-0,draw,0.6756,0.2007,0.1237,home,0.6755781834248856,1.48,False,1.1105256243283497,1.6057609413883245,0.23585193906896734,-1.0,-1.0,-1.0,-1.0
market_history_devig_consensus,Uruguay,Cape Verde,2-2,draw,0.6629,0.2276,0.1095,home,0.6629301139638101,1.508,False,1.048143110937843,1.4803682610132456,0.22573504647556086,-1.0,-1.0,-1.0,-1.0
market_history_devig_consensus,New Zealand,Egypt,1-3,away,0.1578,0.2376,0.6046,away,0.6045953797650528,1.654,True,0.23770654245152306,0.5031958384703895,0.0906179519448258,0.6539987460516195,0.5712988087490385,-1.0,-1.0
polymarket_prekickoff,Portugal,DR Congo,1-1,draw,0.7612,0.1642,0.0746,home,0.7611940298507462,1.314,False,1.2835820895522387,1.8067973465925955,0.29249276008019603,-1.0,-1.0,-1.0,-1.0
polymarket_prekickoff,England,Croatia,4-2,home,0.5721,0.2537,0.1741,home,0.5721393034825871,1.748,True,0.2777654018464889,0.5583727796958255,0.10669290364099895,0.7478260869565216,0.6604347826086956,0.7478260869565216,-1.0
polymarket_prekickoff,Ghana,Panama,1-0,home,0.403,0.3035,0.2935,home,0.4029850746268657,2.481,True,0.534689735402589,0.9088557533866368,0.22129402737555995,1.481481481481481,1.3574074074074067,1.481481481481481,1.481481481481481
polymarket_prekickoff,Uzbekistan,Colombia,1-3,away,0.0955,0.196,0.7085,away,0.7085427135678392,1.411,True,0.13247140223731727,0.34454493434632416,0.047031640615136,0.4113475177304966,0.34078014184397176,-1.0,0.4113475177304966
polymarket_prekickoff,Czech Republic,South Africa,1-1,draw,0.5323,0.2637,0.204,home,0.5323383084577116,1.879,False,0.8671567535457043,1.3330129945069538,0.1624959778223312,-1.0,-1.0,-1.0,-1.0
polymarket_prekickoff,Switzerland,Bosnia & Herzegovina,4-1,home,0.6219,0.2338,0.1443,home,0.6218905472636816,1.608,True,0.21845993911041806,0.47499117075677455,0.08189153733818466,0.6079999999999999,0.5275999999999998,0.6079999999999999,0.6079999999999999
polymarket_prekickoff,Canada,Qatar,6-0,home,0.7413,0.1741,0.0846,home,0.7412935323383085,1.349,True,0.10440335635256551,0.29935860211361653,0.03704116234746663,0.34899328859060397,0.2815436241610738,0.34899328859060397,-1.0
polymarket_prekickoff,United States,Australia,2-0,home,0.608,0.2161,0.1759,home,0.6080402010050251,1.645,True,0.23125678644478678,0.49751427912775137,0.09228302315598094,0.6446280991735538,0.5623966942148759,0.6446280991735538,-1.0
polymarket_prekickoff,Scotland,Morocco,0-1,away,0.1759,0.2663,0.5578,away,0.5577889447236182,1.793,True,0.2974167319007095,0.5837746234121581,0.11324208984621602,0.7927927927927925,0.7031531531531527,-1.0,-1.0
polymarket_prekickoff,Brazil,Haiti,3-0,home,0.8815,0.0822,0.0364,home,0.8814741035856574,1.134,True,0.02212216869573499,0.126159655243745,0.007685021864732305,0.13446327683615822,0.07774011299435024,0.13446327683615822,-1.0
