event_utc,condition_id,token_id,previous_tier,tier
2026-08-20T23:49:38Z,0x5801ce623a1d2dcb20bec5708fd9f881326aaf1ff82af22248aceccc7bf29708,22259676472245304836987936468688287000552053407103691651974610166463919922548,persistent,seed
2026-08-20T23:49:38Z,0x704e4ea883b17433c66119bde289259b3c7d3668a0101df9c66fda9350f17fd2,12689182484229854877669526860350721774940981883026493278950506200273140206090,seed,persistent
2026-08-20T23:49:38Z,0x71dd44fa5059fbed28a279172185d3623aa34ce86be1936281df26b5d1b87200,94770042529883309392255966715551132169012522769091385480819155582901630638873,seed,persistent
2026-08-20T23:49:38Z,0x8f38b53c21eb19bc2f5765442d027063c72ef28a1e38e04931c289e7b4385ba0,1912123006659202393239555952183008613139794898030657820154477280141921306103,seed,persistent
2026-08-20T23:49:38Z,0x95b9b8ee4ff31e9e2afd03185fdf563a08838a14f1eb40dbee242f4efee38a79,52075661449210161679553911955906709663777764309544840437136545897644551846656,seed,persistent
2026-08-20T23:49:38Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,100634343526080296675519866299852321904923227713546778501901177732799107316096,persistent,seed
2026-08-20T23:49:38Z,0x9b94d7e2e7250d156b02435f4d59634d357dc789d842eaee15c35c1158d5bca4,81141181734308200688529988294612116916451750660627985997279610187281303006599,persistent,seed
2026-08-20T23:49:38Z,0x9cb23d04b2ded06147482076688b69b487a8d982c63ebdda2ab3678cf27cf390,35198549486569600595408965368290795524428922595732253580266052028158040373233,persistent,seed
2026-08-20T23:49:38Z,0xc1556ecbe613e403dfb9e38bf1b25a8aee2aa1687f2b343bc896dd2c9763ed74,10451124928493844849355057703558222404087423201197729105477623039880661055484,persistent,seed
2026-08-20T23:49:38Z,0xc4ebab9f2830f6df67ab1b98615d5a9be8eebd106fd0f37e9a25e4a4edcc427c,10618696958805388450273982806566275602086720395274264354492776873006123003601,persistent,seed
2026-08-20T23:49:38Z,0xcc59c2569d30b4b86993f3ff17bb900fffc56e7d98f1a5b02793fc9c133db99a,30168634295384984099987626703440157654602987915064535215384295190163901851184,seed,persistent
2026-08-20T23:49:38Z,0xcd9079a837d72a0eafde1dc692c819940bd030a295ddc67f27590e98df33878c,5704535028627813610807450987863678382834984459808017027367262166853701331994,persistent,seed
2026-08-20T23:49:38Z,0xe5b6626c2289a7aa8962f1f6e001119cd2c398a7160937416fe1c5a2c3671b2b,64560403554199727186976197678168939291412407939123176985568118037522170599338,seed,persistent
2026-08-20T23:49:38Z,0xed5a9e7831ee363d92cb102f2c21e2465b09196ef5beb7c8e23671851a1c3ca4,92467093729798172795860015164975956539777812580280382263501795773871198126752,persistent,seed
2026-08-20T23:49:38Z,0xf599231d9325e07e0444e7aa14df408a0dd1477ce2a9254911159cd36a450a0d,7234064092234993630656185805299459226646373578997028854790713372470513833091,seed,persistent
