commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.827525,0.827525,0.0,high,fragile
2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.665119,0.665119,0.0,high,medium
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2-0,False,1.179334,1.179334,0.0,low,strong
2026-07-07T20:00:00Z,Switzerland,Colombia,0-1,0-1,False,0.731025,0.731025,0.0,high,fragile
2026-07-09T20:00:00Z,France,Morocco,2-0,2-0,False,1.019565,1.019565,0.0,medium,medium
2026-07-11T21:00:00Z,Norway,England,0-2,0-2,False,0.829385,0.829385,0.0,high,fragile
