commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,totals_available,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,bookmaker_count_spreads,avg_home_spread,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-06-23T17:00:00Z,Portugal,Uzbekistan,2-0,2,0,home,261,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,18.0,2.5,0.5972412143722149,0.4027587856277851,over,0.5972412143722149,11.0,-1.7954545454545454,58.0,0.7937177254461656,0.1399323887266108,0.0663498858272237,home,0.7937177254461656,0.88,validated,55,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-23T20:00:00Z,England,Ghana,2-0,2,0,home,258,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,20.0,2.5,0.5877791124451559,0.412220887554844,over,0.5877791124451559,11.0,-1.681818181818182,57.0,0.7889301161641225,0.1441657677162772,0.0669041161196003,home,0.7889301161641225,0.88,validated,54,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-23T23:00:00Z,Panama,Croatia,0-2,0,2,away,260,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,25.0,2.5,0.4925576545562891,0.507442345443711,under,0.507442345443711,11.0,1.0454545454545454,57.0,0.1428426117178483,0.2380747070617637,0.6190826812203881,away,0.6190826812203881,0.656,acceptable,54,26,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-24T02:00:00Z,Colombia,DR Congo,2-0,2,0,home,248,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,20.0,2.5,0.4375998703899747,0.5624001296100252,under,0.5624001296100252,11.0,-1.0454545454545454,55.0,0.6329177195403906,0.2312647393723964,0.135817541087213,home,0.6329177195403906,0.656,acceptable,52,23,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,2-0,2,0,home,258,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,17.0,2.5,0.5772167032821299,0.42278329671787,over,0.5772167032821299,11.0,-1.2954545454545454,57.0,0.6681594787253617,0.1951541097822407,0.1366864114923976,home,0.6681594787253617,0.88,validated,54,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-24T19:00:00Z,Switzerland,Canada,2-1,2,1,home,260,True,True,True,0.723036,market_aligned,pick outcome agrees with market favourite; goal total conflicts with market lean; score margin direction agrees with spread,21.0,2.5,0.4491541646063411,0.5508458353936588,under,0.5508458353936588,11.0,-0.3181818181818182,57.0,0.3907142348373008,0.3073925433059785,0.3018932218567205,home,0.3907142348373008,0.399091,review,54,26,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-24T22:00:00Z,Scotland,Brazil,0-2,0,2,away,260,True,True,True,0.98,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,25.0,2.5,0.5262049594119192,0.4737950405880808,over,0.5262049594119192,11.0,1.3636363636363635,57.0,0.1230078836157704,0.1870969080471604,0.6898952083370689,away,0.6898952083370689,0.88,validated,54,26,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-24T22:00:00Z,Morocco,Haiti,2-0,2,0,home,258,True,True,True,0.88,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; score margin direction agrees with spread,14.0,2.5,0.6088612245513636,0.3911387754486363,over,0.6088612245513636,11.0,-2.0454545454545454,57.0,0.801650954011011,0.1386383131159107,0.0597107328730779,home,0.801650954011011,0.88,validated,54,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-25T01:00:00Z,Czech Republic,Mexico,0-2,0,2,away,260,True,True,True,0.997377,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; score margin direction agrees with spread,23.0,2.5,0.4507705498135468,0.5492294501864532,under,0.5492294501864532,11.0,0.5454545454545454,57.0,0.2567143124207844,0.2534497201531103,0.4898359674261054,away,0.4898359674261054,0.421818,review,54,26,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-25T01:00:00Z,South Africa,South Korea,0-2,0,2,away,255,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,22.0,2.5,0.466471379239586,0.533528620760414,under,0.533528620760414,11.0,0.9772727272727272,56.0,0.1669646759309929,0.2424245117009051,0.5906108123681019,away,0.5906108123681019,0.656,acceptable,53,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
