home,away,commence_time,actual_score
Mexico,South Korea,2026-06-19T01:00:00Z,1-0
Turkey,Paraguay,2026-06-20T03:00:00Z,
Germany,Ivory Coast,2026-06-20T20:00:00Z,
Ecuador,Curacao,2026-06-21T00:00:00Z,
KOR,CZE,,2-1
CIV,ECU,,1-0
GER,CUR,,7-1
AUS,TUR,,2-0
