home,away,commence_time,actual_score,question,slug,match_type,active,closed,volume,liquidity,outcome_prices,yes_token_id,pre_kickoff_yes_price,pre_kickoff_price_time
Scotland,Morocco,2026-06-19T22:00:00Z,,Will Scotland vs. Morocco end in a draw?,fifwc-sco-mar-2026-06-19-draw,draw_market,True,False,92184.9478819997,763407.856,"[""0.265"", ""0.735""]",109269497217299502116676395480596041754607662236964061073622120751625474742107,0.265,2026-06-19T04:00:03+00:00
Brazil,Haiti,2026-06-20T01:00:00Z,,Will Haiti win on 2026-06-19?,fifwc-bra-hai-2026-06-19-hai,away_win_market,True,False,448695.55974500114,708242.63698,"[""0.0365"", ""0.9635""]",103635844992876723144379951385842243916752648056505794536281053774467895997557,0.0365,2026-06-19T04:00:04+00:00
Brazil,Haiti,2026-06-20T01:00:00Z,,Will Brazil vs. Haiti end in a draw?,fifwc-bra-hai-2026-06-19-draw,draw_market,True,False,429027.7541339998,673186.15469,"[""0.0825"", ""0.9175""]",44654769333046528346139965331873489889567163297280225286353492828529494504482,0.0825,2026-06-19T04:00:05+00:00
Brazil,Haiti,2026-06-20T01:00:00Z,,Will Brazil win on 2026-06-19?,fifwc-bra-hai-2026-06-19-bra,home_win_market,True,False,344275.6718229984,838384.1153,"[""0.885"", ""0.115""]",103041090730063233481678246468943921262520375914356653176409396265510672924686,0.885,2026-06-19T04:00:03+00:00
Netherlands,Sweden,2026-06-20T17:00:00Z,,Will Netherlands win on 2026-06-20?,fifwc-nld-swe-2026-06-20-nld,home_win_market,True,False,129326.89687300022,451758.4285,"[""0.555"", ""0.445""]",81043398291360463170235957547610256181022662944963722274721633505163503937838,,
Netherlands,Sweden,2026-06-20T17:00:00Z,,Will Sweden win on 2026-06-20?,fifwc-nld-swe-2026-06-20-swe,away_win_market,True,False,84133.00541600004,430497.8437,"[""0.205"", ""0.795""]",40679081595356904709519473256184794013741938720159613262750624703767617499056,,
Netherlands,Sweden,2026-06-20T17:00:00Z,,Will Netherlands vs. Sweden end in a draw?,fifwc-nld-swe-2026-06-20-draw,draw_market,True,False,31282.943654000006,395225.4681,"[""0.245"", ""0.755""]",76430088308493460494891335845203272510723451292248221729565378437032576762940,,
Tunisia,Japan,2026-06-21T04:00:00Z,,Will Japan win on 2026-06-21?,fifwc-tun-jpn-2026-06-21-jpn,away_win_market,True,False,172963.39026499935,495866.6788,"[""0.635"", ""0.365""]",91234906493805354217250440222911012200186057450151286874925972448339630680686,,
Tunisia,Japan,2026-06-21T04:00:00Z,,Will Tunisia win on 2026-06-21?,fifwc-tun-jpn-2026-06-21-tun,home_win_market,True,False,26419.701387,393172.1134,"[""0.135"", ""0.865""]",62516949205730668430138255140150438665483187962069999240136080804116109915287,,
Tunisia,Japan,2026-06-21T04:00:00Z,,Will Tunisia vs. Japan end in a draw?,fifwc-tun-jpn-2026-06-21-draw,draw_market,True,False,15763.34192300002,435959.2516,"[""0.235"", ""0.765""]",50275383633644719253389412495747849486228904621414058936414415835809185820411,,
HAI,SCO,,0-1,Will Scotland win on 2026-06-13?,fifwc-hai-sco-2026-06-13-sco,away_win_market,True,True,17517132.89494811,,"[""1"", ""0""]",38620007602877950561785055194486422431765048561026651240000808038396318703092,,
HAI,SCO,,0-1,Will Haiti win on 2026-06-13?,fifwc-hai-sco-2026-06-13-hai,home_win_market,True,True,4799390.769881002,,"[""0"", ""1""]",56618826743104010959172273659413209775316700999254592964223431451553591299446,,
