commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier
2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
