home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Turkey,United States,1-2,0-2,11,0,0,-0.0018145454545454543,-0.00267,-0.00069,0.02692890909090909,0.033758,-2.9829090909090907,0.0,0.0,False
Bosnia & Herzegovina,Qatar,2-0,2-1,11,0,1,-0.0018454545454545453,-0.00343,0.00038,0.036808272727272724,0.046918,-2.7155454545454543,0.0,0.09090909090909091,False
Cape Verde,Saudi Arabia,1-2,0-2,11,0,0,-0.0018881818181818181,-0.00307,-0.00043,0.02347845454545455,0.029985,-3.189818181818182,0.0,0.0,False
Jordan,Argentina,0-2,0-3,11,0,1,-0.0021372727272727272,-0.00545,6e-05,0.04425609090909091,0.06373,-2.706909090909091,0.0,0.09090909090909091,False
Cape Verde,Saudi Arabia,1-2,0-1,11,0,0,-0.0021572727272727273,-0.00415,-0.00014,0.026819545454545457,0.042044,-3.421727272727273,0.0,0.0,False
Morocco,Haiti,2-0,3-0,11,0,0,-0.002360909090909091,-0.00568,-0.0008,0.04980154545454545,0.069868,-2.9040909090909093,0.0,0.0,False
Portugal,Uzbekistan,2-0,3-0,11,0,0,-0.0026436363636363636,-0.00493,-0.00071,0.054270454545454545,0.074945,-3.206,0.0,0.0,False
Uruguay,Spain,0-2,1-2,11,0,0,-0.003220909090909091,-0.00526,-0.00125,0.04971336363636363,0.059063,-4.695636363636364,0.0,0.0,False
Netherlands,Sweden,2-0,3-1,11,0,0,-0.0032645454545454544,-0.0063,-0.00057,0.03740645454545455,0.058018,-4.991090909090909,0.0,0.0,False
Bosnia & Herzegovina,Qatar,2-0,3-1,11,0,0,-0.003419090909090909,-0.00642,-0.0007,0.050991272727272725,0.07462,-5.052727272727273,0.0,0.0,False
Norway,France,0-2,0-1,11,0,0,-0.003674545454545454,-0.00549,-0.00207,0.04534181818181818,0.054528,-5.452545454545454,0.0,0.0,False
Croatia,Ghana,2-0,1-0,11,0,0,-0.0038136363636363637,-0.00561,-0.00115,0.050414999999999995,0.062058,-5.183272727272727,0.0,0.0,False
Ecuador,Germany,0-2,0-1,11,0,0,-0.0038781818181818184,-0.00502,-0.00247,0.051003454545454546,0.061134,-5.489090909090909,0.0,0.0,False
Croatia,Ghana,2-0,2-1,11,0,0,-0.003958181818181818,-0.0053,-0.00325,0.054108,0.062797,-5.771090909090909,0.0,0.0,False
Jordan,Algeria,0-2,1-2,11,0,0,-0.004207272727272727,-0.00548,-0.00337,0.05202281818181818,0.061153,-6.107454545454545,0.0,0.0,False
Argentina,Austria,2-0,2-1,11,0,0,-0.004216363636363636,-0.0052,-0.00274,0.05457872727272727,0.063607,-6.084818181818181,0.0,0.0,False
New Zealand,Egypt,0-2,0-1,11,0,0,-0.004266363636363637,-0.00511,-0.00276,0.05155527272727272,0.063427,-5.717363636363637,0.0,0.0,False
Tunisia,Japan,0-2,0-1,11,0,0,-0.004333636363636363,-0.00597,-0.00124,0.05499727272727273,0.067145,-5.696909090909092,0.0,0.0,False
South Africa,South Korea,0-2,1-2,11,0,0,-0.004451818181818182,-0.00626,-0.00283,0.053890181818181816,0.062671,-6.433636363636364,0.0,0.0,False
South Africa,South Korea,0-2,0-1,11,0,0,-0.0044690909090909095,-0.00608,-0.00197,0.05324281818181819,0.064698,-6.027454545454545,0.0,0.0,False
Colombia,DR Congo,2-0,1-0,11,0,0,-0.005005454545454546,-0.00645,-0.00359,0.05850163636363637,0.071824,-6.318272727272728,0.0,0.0,False
New Zealand,Egypt,0-2,1-2,11,0,0,-0.005038181818181818,-0.00647,-0.0031,0.05985790909090909,0.068535,-7.283363636363637,0.0,0.0,False
England,Ghana,2-0,3-0,11,0,0,-0.005134545454545455,-0.00657,-0.00375,0.07587318181818183,0.096813,-6.144090909090909,0.0,0.0,False
Argentina,Austria,2-0,1-0,11,0,0,-0.0051554545454545455,-0.00726,-0.00265,0.061127,0.07209,-7.0017272727272735,0.0,0.0,False
Panama,England,0-2,0-3,11,0,0,-0.00545,-0.00825,-0.00357,0.07104918181818182,0.090497,-6.85509090909091,0.0,0.0,False
Uruguay,Spain,0-2,0-1,11,0,0,-0.0054818181818181815,-0.00726,-0.00444,0.07098218181818182,0.080918,-7.571545454545455,0.0,0.0,False
Jordan,Algeria,0-2,0-1,11,0,0,-0.005543636363636363,-0.00835,-0.00426,0.06401290909090909,0.074627,-7.586454545454546,0.0,0.0,False
Turkey,United States,1-2,0-1,11,0,0,-0.005561818181818182,-0.00765,-0.00429,0.058272727272727275,0.072545,-8.845454545454546,0.0,0.0,False
Curacao,Ivory Coast,0-2,1-3,11,0,0,-0.005597272727272728,-0.00918,-0.00327,0.06238481818181818,0.088937,-7.9772727272727275,0.0,0.0,False
Jordan,Argentina,0-2,1-3,11,0,0,-0.005630909090909091,-0.0085,-0.00207,0.06683663636363636,0.093152,-8.032545454545454,0.0,0.0,False
New Zealand,Belgium,0-2,0-3,11,0,0,-0.005644545454545454,-0.00758,-0.00459,0.08071872727272728,0.101078,-6.874545454545455,0.0,0.0,False
Panama,Croatia,0-2,1-2,11,0,0,-0.005794545454545455,-0.00739,-0.00454,0.06734627272727273,0.076428,-8.283,0.0,0.0,False
Panama,Croatia,0-2,0-1,11,0,0,-0.005804545454545455,-0.00735,-0.00427,0.06547609090909091,0.076801,-7.726,0.0,0.0,False
Uruguay,Cape Verde,2-0,1-0,11,0,0,-0.005890909090909091,-0.0075,-0.00396,0.06907818181818182,0.082196,-7.340272727272727,0.0,0.0,False
Tunisia,Japan,0-2,1-2,11,0,0,-0.0062545454545454545,-0.00751,-0.00455,0.06954018181818182,0.078234,-8.92290909090909,0.0,0.0,False
France,Iraq,3-0,4-0,11,0,0,-0.0063,-0.00912,-0.00452,0.09245281818181818,0.111126,-7.751818181818181,0.0,0.0,False
Paraguay,Australia,1-0,2-0,11,0,0,-0.00653,-0.00881,-0.00342,0.062272,0.074711,-9.122272727272728,0.0,0.0,False
Tunisia,Netherlands,0-2,0-3,11,0,0,-0.006530909090909091,-0.00814,-0.00542,0.09230936363636365,0.110959,-8.336636363636364,0.0,0.0,False
Turkey,United States,1-2,1-3,11,0,0,-0.00674090909090909,-0.00748,-0.00581,0.06861109090909091,0.077736,-11.007,0.0,0.0,False
Netherlands,Sweden,2-0,1-0,11,0,0,-0.006796363636363636,-0.00822,-0.00539,0.06949281818181818,0.076022,-10.249818181818183,0.0,0.0,False
Belgium,Iran,2-0,2-1,11,0,0,-0.006870909090909091,-0.00836,-0.00579,0.077265,0.087312,-9.785,0.0,0.0,False
Norway,France,0-2,1-3,11,0,0,-0.006896363636363636,-0.00935,-0.00526,0.07400818181818182,0.092807,-10.903636363636364,0.0,0.0,False
Morocco,Haiti,2-0,3-1,11,0,0,-0.007226363636363637,-0.0108,-0.00496,0.08450145454545455,0.111038,-10.152818181818182,0.0,0.0,False
