player,raw_weight,top1_weight,top2_weight,top3_weight,modal_weight,chase_weight,chalk_weight
Dheben,0.35,0.25,0.15,0.08,0.1,0.07,0.1
Bijal,0.3,0.25,0.12,0.06,0.12,0.05,0.18
Peter,0.25,0.22,0.15,0.12,0.08,0.18,0.08
rob87,0.24,0.2,0.16,0.14,0.08,0.18,0.08
Leonard,0.32,0.24,0.14,0.08,0.1,0.08,0.12
Kea,0.26,0.2,0.16,0.14,0.08,0.16,0.1
