band,n,mean_predicted,observed_freq,gap_observed_minus_predicted
"[0.0,0.2)",20,0.129,0.05,-0.079
"[0.2,0.4)",14,0.2412,0.2143,-0.0269
"[0.4,0.6)",5,0.5263,0.8,0.2737
"[0.6,0.8)",10,0.6654,0.7,0.0346
"[0.8,1.0)",2,0.8785,1.0,0.1215
