boundary_ms,boundary_iso,position_open,marks_carried_forward,spot_qty,spot_mark,perp_mark,spot_value,margin,cash,nav,funding_received,fees_paid,traded_notional,period_return_on_capital,period_return_on_nav,flagged,rebalances,forced_liquidations,unverifiable_open,rejected_open
1578268800000,2020-01-06T00:00:00Z,False,False,0.0,135.37,135.33,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0
1578297600000,2020-01-06T08:00:00Z,False,False,0.0,138.87,138.79,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0
1578326400000,2020-01-06T16:00:00Z,True,False,0.007132667617689016,140.2,140.14,1.0,0.4997860199714693,-0.001285805991440789,1.4985002139800285,0.0,0.0014997860199714693,1.9995720399429386,-0.000999857346647648,-0.000999857346647648,False,0,0,0,0
1578355200000,2020-01-07T00:00:00Z,True,False,0.007132667617689016,144.15,144.04,1.0281740370898718,0.4720713552068473,-0.001285805991440789,1.4989595863052783,0.00010273894436519258,0.0,0.0,0.000306248216833301,0.0003065547278299233,False,0,0,0,0
1578384000000,2020-01-07T08:00:00Z,True,False,0.007132667617689016,142.87,142.8,1.0190442225392298,0.48101771754636213,-0.001285805991440789,1.4987761340941512,0.00010185449358059915,0.0,0.0,-0.0001223014740848368,-0.0001223863623830024,False,0,0,0,0
1578412800000,2020-01-07T16:00:00Z,True,False,0.007132667617689016,139.48,139.46,0.9948644793152639,0.5049402995720398,-0.001285805991440789,1.4985189728958628,9.947218259629102e-05,0.0,0.0,-0.0001714407988588166,-0.00017158079344776412,False,0,0,0,0
1578441600000,2020-01-08T00:00:00Z,True,False,0.007132667617689016,142.8,142.86,1.0185449358059915,0.4807911269614834,-0.001285805991440789,1.498050256776034,0.0001018972895863053,0.0,0.0,-0.0003124774132192698,-0.0003127862431550644,False,0,0,0,0
1578470400000,2020-01-08T08:00:00Z,True,False,0.007132667617689016,143.56,143.59,1.023965763195435,0.4756866975748929,-0.001285805991440789,1.4983666547788872,0.00010241797432239659,0.0,0.0,0.0002109320019020681,0.00021120653424139775,False,0,0,0,0
1578499200000,2020-01-08T16:00:00Z,True,False,0.007132667617689016,141.42,141.47,1.0087018544935806,0.49090885877318113,-0.001285805991440789,1.4983249072753209,0.00010090584878744651,0.0,0.0,-2.783166904407608e-05,-2.7862007895855646e-05,False,0,0,0,0
1578528000000,2020-01-09T00:00:00Z,True,False,0.007132667617689016,140.72,140.75,1.0037089871611984,0.4961447717546362,-0.001285805991440789,1.4985679529243938,0.0001003922967189729,0.0,0.0,0.00016203043271515818,0.00016221157900587387,False,0,0,0,0
