open_time,open_time_iso,open,high,low,close
1577836800000,2020-01-01T00:00:00Z,7189.43,7190.52,7170.15,7171.55
1577840400000,2020-01-01T01:00:00Z,7171.43,7225.0,7171.1,7210.24
1577844000000,2020-01-01T02:00:00Z,7210.38,7239.3,7206.46,7237.99
1577847600000,2020-01-01T03:00:00Z,7237.41,7239.74,7215.0,7221.65
1577851200000,2020-01-01T04:00:00Z,7221.8,7225.41,7211.22,7213.86
1577854800000,2020-01-01T05:00:00Z,7213.86,7224.09,7213.86,7220.31
1577858400000,2020-01-01T06:00:00Z,7220.31,7230.0,7217.6,7221.0
1577862000000,2020-01-01T07:00:00Z,7220.99,7227.2,7193.52,7205.26
1577865600000,2020-01-01T08:00:00Z,7205.26,7206.29,7174.0,7195.24
1577869200000,2020-01-01T09:00:00Z,7195.23,7204.99,7182.76,7184.45
1577872800000,2020-01-01T10:00:00Z,7184.46,7205.0,7181.43,7197.25
1577876400000,2020-01-01T11:00:00Z,7197.27,7234.57,7185.01,7192.65
1577880000000,2020-01-01T12:00:00Z,7192.74,7224.26,7191.79,7220.72
1577883600000,2020-01-01T13:00:00Z,7220.72,7226.9,7210.0,7215.54
1577887200000,2020-01-01T14:00:00Z,7215.49,7228.47,7204.0,7216.8
1577890800000,2020-01-01T15:00:00Z,7216.8,7260.43,7215.0,7229.49
1577894400000,2020-01-01T16:00:00Z,7229.66,7247.0,7210.81,7241.91
1577898000000,2020-01-01T17:00:00Z,7241.91,7248.0,7221.88,7233.8
1577901600000,2020-01-01T18:00:00Z,7233.87,7241.95,7222.0,7237.47
1577905200000,2020-01-01T19:00:00Z,7237.83,7237.83,7223.15,7226.35
1577908800000,2020-01-01T20:00:00Z,7226.56,7242.0,7223.09,7233.3
1577912400000,2020-01-01T21:00:00Z,7233.32,7238.79,7225.0,7229.71
1577916000000,2020-01-01T22:00:00Z,7229.71,7229.71,7183.26,7195.01
1577919600000,2020-01-01T23:00:00Z,7195.0,7199.5,7174.0,7197.57
1577923200000,2020-01-02T00:00:00Z,7197.57,7209.59,7182.19,7208.29
1577926800000,2020-01-02T01:00:00Z,7208.29,7208.3,7183.01,7188.73
1577930400000,2020-01-02T02:00:00Z,7188.64,7188.64,7155.0,7166.56
1577934000000,2020-01-02T03:00:00Z,7166.92,7166.92,7121.0,7127.29
1577937600000,2020-01-02T04:00:00Z,7126.94,7159.3,7112.06,7139.36
1577941200000,2020-01-02T05:00:00Z,7139.65,7149.37,7123.87,7135.44
1577944800000,2020-01-02T06:00:00Z,7135.44,7145.36,7119.1,7132.0
1577948400000,2020-01-02T07:00:00Z,7132.0,7137.91,7101.0,7107.56
1577952000000,2020-01-02T08:00:00Z,7107.53,7153.26,7106.75,7148.56
1577955600000,2020-01-02T09:00:00Z,7148.56,7163.99,7133.04,7159.41
1577959200000,2020-01-02T10:00:00Z,7159.41,7175.0,7150.58,7157.81
1577962800000,2020-01-02T11:00:00Z,7157.35,7164.95,7136.24,7136.24
1577966400000,2020-01-02T12:00:00Z,7136.36,7160.0,7136.33,7155.08
1577970000000,2020-01-02T13:00:00Z,7155.1,7159.0,7103.0,7127.24
1577973600000,2020-01-02T14:00:00Z,7127.5,7154.06,7120.0,7131.0
1577977200000,2020-01-02T15:00:00Z,7131.0,7146.85,7115.03,7126.25
1577980800000,2020-01-02T16:00:00Z,7126.25,7143.29,7030.0,7049.61
1577984400000,2020-01-02T17:00:00Z,7049.62,7050.23,6922.0,6966.86
1577988000000,2020-01-02T18:00:00Z,6966.99,6985.0,6947.0,6969.85
1577991600000,2020-01-02T19:00:00Z,6970.66,6991.0,6958.0,6979.44
1577995200000,2020-01-02T20:00:00Z,6979.45,6980.0,6938.36,6944.95
1577998800000,2020-01-02T21:00:00Z,6944.95,6982.83,6944.43,6973.5
1578002400000,2020-01-02T22:00:00Z,6973.85,6974.27,6960.0,6970.36
1578006000000,2020-01-02T23:00:00Z,6970.61,6970.61,6950.01,6962.04
1578009600000,2020-01-03T00:00:00Z,6962.34,6962.8,6906.24,6934.27
1578013200000,2020-01-03T01:00:00Z,6934.27,6944.01,6872.78,6884.74
1578016800000,2020-01-03T02:00:00Z,6884.72,6960.0,6863.44,6952.58
1578020400000,2020-01-03T03:00:00Z,6952.59,6958.5,6935.74,6947.35
1578024000000,2020-01-03T04:00:00Z,6947.44,7300.0,6945.84,7204.37
1578027600000,2020-01-03T05:00:00Z,7204.86,7244.38,7163.16,7215.59
1578031200000,2020-01-03T06:00:00Z,7214.42,7220.0,7185.0,7197.0
1578034800000,2020-01-03T07:00:00Z,7197.1,7227.73,7182.42,7198.02
1578038400000,2020-01-03T08:00:00Z,7198.02,7300.0,7198.0,7258.0
1578042000000,2020-01-03T09:00:00Z,7257.99,7360.76,7254.74,7345.15
1578045600000,2020-01-03T10:00:00Z,7345.15,7368.33,7280.44,7310.0
1578049200000,2020-01-03T11:00:00Z,7310.0,7344.15,7305.0,7338.11
1578052800000,2020-01-03T12:00:00Z,7338.4,7348.52,7306.01,7321.57
1578056400000,2020-01-03T13:00:00Z,7321.31,7379.0,7310.85,7346.07
1578060000000,2020-01-03T14:00:00Z,7345.74,7359.95,7229.0,7252.7
1578063600000,2020-01-03T15:00:00Z,7252.72,7321.56,7250.0,7316.01
1578067200000,2020-01-03T16:00:00Z,7315.36,7407.28,7289.06,7383.0
1578070800000,2020-01-03T17:00:00Z,7383.0,7400.35,7333.24,7352.9
1578074400000,2020-01-03T18:00:00Z,7352.88,7368.22,7327.3,7340.42
1578078000000,2020-01-03T19:00:00Z,7340.33,7347.0,7276.35,7338.9
1578081600000,2020-01-03T20:00:00Z,7338.91,7359.0,7295.24,7315.05
1578085200000,2020-01-03T21:00:00Z,7315.05,7330.0,7257.67,7277.27
1578088800000,2020-01-03T22:00:00Z,7277.28,7316.0,7255.84,7296.78
1578092400000,2020-01-03T23:00:00Z,7296.64,7342.0,7288.3,7341.72
1578096000000,2020-01-04T00:00:00Z,7341.6,7347.02,7283.21,7302.87
1578099600000,2020-01-04T01:00:00Z,7303.02,7308.63,7279.0,7305.22
1578103200000,2020-01-04T02:00:00Z,7304.97,7325.0,7292.89,7324.13
1578106800000,2020-01-04T03:00:00Z,7324.13,7336.5,7314.27,7329.29
1578110400000,2020-01-04T04:00:00Z,7329.4,7334.29,7310.0,7330.28
1578114000000,2020-01-04T05:00:00Z,7330.81,7368.47,7321.0,7341.0
1578117600000,2020-01-04T06:00:00Z,7341.0,7362.15,7335.22,7351.5
1578121200000,2020-01-04T07:00:00Z,7350.92,7358.02,7322.45,7344.13
1578124800000,2020-01-04T08:00:00Z,7344.11,7359.0,7328.27,7343.0
1578128400000,2020-01-04T09:00:00Z,7343.0,7366.0,7336.0,7360.73
1578132000000,2020-01-04T10:00:00Z,7360.24,7364.0,7306.0,7314.65
1578135600000,2020-01-04T11:00:00Z,7313.81,7336.09,7295.2,7333.07
1578139200000,2020-01-04T12:00:00Z,7333.07,7333.54,7300.62,7309.86
1578142800000,2020-01-04T13:00:00Z,7309.82,7322.76,7286.16,7299.98
1578146400000,2020-01-04T14:00:00Z,7299.98,7320.0,7294.0,7312.96
1578150000000,2020-01-04T15:00:00Z,7312.64,7327.51,7301.0,7315.45
1578153600000,2020-01-04T16:00:00Z,7315.94,7320.78,7294.14,7304.16
1578157200000,2020-01-04T17:00:00Z,7304.15,7349.25,7302.0,7349.04
1578160800000,2020-01-04T18:00:00Z,7349.04,7400.0,7269.21,7304.38
1578164400000,2020-01-04T19:00:00Z,7303.97,7350.0,7281.0,7331.35
1578168000000,2020-01-04T20:00:00Z,7331.87,7349.0,7307.0,7338.47
1578171600000,2020-01-04T21:00:00Z,7338.36,7362.87,7330.0,7347.26
1578175200000,2020-01-04T22:00:00Z,7347.33,7355.58,7340.0,7347.39
1578178800000,2020-01-04T23:00:00Z,7347.39,7358.45,7324.65,7350.71
1578182400000,2020-01-05T00:00:00Z,7350.54,7390.73,7350.54,7371.57
1578186000000,2020-01-05T01:00:00Z,7371.56,7488.0,7371.56,7458.32
1578189600000,2020-01-05T02:00:00Z,7458.38,7481.0,7431.11,7443.33
1578193200000,2020-01-05T03:00:00Z,7443.33,7476.98,7438.88,7475.15
1578196800000,2020-01-05T04:00:00Z,7475.19,7495.0,7443.46,7456.42
1578200400000,2020-01-05T05:00:00Z,7456.4,7465.05,7445.0,7457.48
1578204000000,2020-01-05T06:00:00Z,7458.51,7482.14,7440.0,7456.88
1578207600000,2020-01-05T07:00:00Z,7456.88,7470.0,7443.06,7462.98
1578211200000,2020-01-05T08:00:00Z,7463.42,7470.0,7417.0,7429.69
