open_time,open_time_iso,open,high,low,close
1577836800000,2020-01-01T00:00:00Z,7195.24,7196.25,7175.46,7177.02
1577840400000,2020-01-01T01:00:00Z,7176.47,7230.0,7175.71,7216.27
1577844000000,2020-01-01T02:00:00Z,7215.52,7244.87,7211.41,7242.85
1577847600000,2020-01-01T03:00:00Z,7242.66,7245.0,7220.0,7225.01
1577851200000,2020-01-01T04:00:00Z,7225.0,7230.0,7215.03,7217.27
1577854800000,2020-01-01T05:00:00Z,7217.26,7229.76,7216.65,7224.21
1577858400000,2020-01-01T06:00:00Z,7224.24,7236.27,7221.51,7225.62
1577862000000,2020-01-01T07:00:00Z,7225.88,7232.94,7199.11,7209.83
1577865600000,2020-01-01T08:00:00Z,7209.83,7210.0,7180.0,7200.64
1577869200000,2020-01-01T09:00:00Z,7200.29,7210.51,7188.0,7188.77
1577872800000,2020-01-01T10:00:00Z,7189.07,7210.0,7185.2,7202.0
1577876400000,2020-01-01T11:00:00Z,7202.01,7237.73,7188.61,7197.2
1577880000000,2020-01-01T12:00:00Z,7197.2,7233.33,7196.15,7225.59
1577883600000,2020-01-01T13:00:00Z,7225.84,7231.89,7212.88,7221.2
1577887200000,2020-01-01T14:00:00Z,7221.17,7234.97,7208.17,7221.43
1577890800000,2020-01-01T15:00:00Z,7221.6,7255.0,7218.29,7234.19
1577894400000,2020-01-01T16:00:00Z,7234.2,7246.42,7214.0,7245.37
1577898000000,2020-01-01T17:00:00Z,7244.34,7249.99,7224.92,7236.83
1577901600000,2020-01-01T18:00:00Z,7237.02,7246.72,7225.17,7240.67
1577905200000,2020-01-01T19:00:00Z,7240.8,7241.0,7225.49,7229.48
1577908800000,2020-01-01T20:00:00Z,7229.48,7242.98,7224.68,7236.73
1577912400000,2020-01-01T21:00:00Z,7237.26,7242.75,7227.0,7233.17
1577916000000,2020-01-01T22:00:00Z,7233.32,7234.49,7186.0,7197.99
1577919600000,2020-01-01T23:00:00Z,7197.62,7204.17,7175.15,7200.85
1577923200000,2020-01-02T00:00:00Z,7200.77,7212.5,7185.46,7211.02
1577926800000,2020-01-02T01:00:00Z,7211.04,7211.16,7185.11,7190.99
1577930400000,2020-01-02T02:00:00Z,7190.99,7191.0,7155.35,7169.02
1577934000000,2020-01-02T03:00:00Z,7169.04,7169.06,7120.37,7129.61
1577937600000,2020-01-02T04:00:00Z,7129.25,7161.0,7116.7,7142.21
1577941200000,2020-01-02T05:00:00Z,7142.61,7152.05,7126.93,7138.93
1577944800000,2020-01-02T06:00:00Z,7138.93,7149.02,7121.43,7135.97
1577948400000,2020-01-02T07:00:00Z,7136.04,7140.63,7105.0,7110.57
1577952000000,2020-01-02T08:00:00Z,7110.98,7157.48,7109.11,7154.36
1577955600000,2020-01-02T09:00:00Z,7153.57,7165.0,7135.36,7162.01
1577959200000,2020-01-02T10:00:00Z,7162.18,7180.0,7153.33,7161.83
1577962800000,2020-01-02T11:00:00Z,7161.89,7168.67,7139.03,7139.79
