token_id,currency,strike,expiry
EXAMPLE_BTC_ABOVE_120K_TOKEN,BTC,120000,2026-06-27
EXAMPLE_BTC_ABOVE_100K_TOKEN,BTC,100000,2026-06-27
EXAMPLE_ETH_ABOVE_4K_TOKEN,ETH,4000,2026-06-27
