transaction_hash,activity_timestamp,payer_address,attributed_to_wallet,gas_used,effective_gas_price_wei,gas_cost_wei,gas_cost_pol,captured_at_utc,rpc_chain_id
0xcdf4189051a571a7ea627aa74c4f1784d3696f8819131bc913311b6f581cbb2a,1783937191,0x59229e64899d82685aeb4112f2e44f764045f009,False,292871,420634489626,123191643611256246,0.12319164361125624,2026-07-13T17:47:24Z,137
0x6bed499d1c37479780ac61d22064444b2f72a1e745aad6499d2d9ce94d079f88,1783930891,0x620b021c77ee19277fbdb3a4a57f818b114cb11d,False,690949,440797966284,304568914005963516,0.30456891400596353,2026-07-13T17:47:24Z,137
