generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-07-24T12:25:48Z,2026-07-24,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,d3cff338a3de892c4de1afdeefe71028aba807bef09e95bc74e426137331cdfc,137
2026-07-25T12:42:59Z,2026-07-25,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,6bcbc9d01181c5d95979894b3cf8da4df70240eea82f5f6b35e191ad9266af9c,137
2026-07-26T13:03:56Z,2026-07-26,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,865eec19a9f080aa469ecdb07f1dccce6fc1cfb3675aa8407411d34dc99d6c06,137
2026-07-27T13:19:14Z,2026-07-27,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,7898d57a67920243e40070a158a1eaba434018ef176ce81b3095c6784453da6f,137
2026-07-28T12:54:19Z,2026-07-28,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,6dd215dad344fe3a9ccc05d51427dea27872476c13c5c8f6fd0a4751b1719a39,137
2026-07-28T13:36:48Z,2026-07-28,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,6dd215dad344fe3a9ccc05d51427dea27872476c13c5c8f6fd0a4751b1719a39,137
2026-07-29T09:08:38Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T10:44:59Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T14:25:19Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
2026-07-29T14:55:58Z,2026-07-29,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,44b735deb4f7026a4cac03ffe91fec80fc7f8fc05208190345ce6fe4b6134f3d,137
