commence_time,home_team,away_team,robust_locked_pick
2026-07-09T20:00:00Z,France,Morocco,2-0
2026-07-10T19:00:00Z,Spain,Belgium,2-0
2026-07-11T21:00:00Z,Norway,England,0-2
2026-07-12T01:00:00Z,Argentina,Switzerland,2-0
