shadow_position_id,family,signal_cohort,market_slug,token_id,close_time,reason
shadow_position_0e72a4628f229c6bf7a1c05c,basketball_nba_match,basketball_nba_match,will-the-toronto-raptors-make-the-2027-nba-play-in-tournament-20260708212312793,92466266712761333715476311916228593402612626192747585242259275663037583655966,,missing_close_time
shadow_position_1cd766c15bf7bfcd260cfd07,unknown,near_miss_learning|unknown,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,88573568753972843609233782544263688613192447059515439195026030115855631852457,,missing_close_time
shadow_position_2d1ce234ad56e372e9088e4c,unknown,near_miss_learning|unknown,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,101210529767768522109521013327011182791765840362085947967089633962337103758101,,missing_close_time
shadow_position_46961e07f39ab766e5377d2f,unknown,near_miss_learning|unknown,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,47581385012550991085148829829464385589071738906241215245717526584676231898767,,missing_close_time
shadow_position_5696adcb70c3a6a0b6c98fbb,worldcup_2026_winner,worldcup_2026_winner_fundamental,will-africa-win-the-2026-fifa-world-cup,1592099975156656573745061572642427093819000123828108257356891175030364428770,,missing_close_time
shadow_position_db3b1e9896c29ced2df1337f,worldcup_2026_winner,worldcup_2026_winner_fundamental,will-north-america-win-the-2026-fifa-world-cup,96570915933183650323624717300751327226821728969018565701035634346205052779472,,missing_close_time
shadow_position_8aabe31a1925596752230768,crypto_btc_updown_event,near_miss_learning|crypto_btc_updown_event,bitcoin-up-or-down-july-1-2026-9am-et,1563162945160401095963867324951055209473710269890417949906585810475714457575,2026-07-01T14:00:00Z,missing_pre_close_quote
shadow_position_3cd0555436b0cffc5e490855,crypto_eth_updown_event,near_miss_learning|crypto_eth_updown_event,ethereum-up-or-down-july-1-2026-9am-et,95970913262670810505582938582435436880687579142255885096913338033013971150243,2026-07-01T14:00:00Z,missing_pre_close_quote
shadow_position_9ed9e5bd9e862fee9b00d1ec,crypto_btc_special,near_miss_learning|crypto,bitcoin-above-58k-on-july-1-2026,51286356739900665958517218755996001284098353481701052787607366451031876880511,2026-07-01T16:00:00Z,missing_pre_close_quote
shadow_position_b459988dbebc646e26d8b061,crypto_btc_updown_daily,crypto_btc_updown_event,bitcoin-up-or-down-on-july-1-2026,62491181956793915949619523167742425136466075088627377767605544091350002944371,2026-07-01T16:00:00Z,missing_pre_close_quote
shadow_position_b36a50db728a3d199d2b7cc9,crypto_eth_updown_daily,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,ethereum-up-or-down-on-july-1-2026,15133965731545014374900920914914504425237364675649508262471768181374994898591,2026-07-01T16:00:00Z,missing_pre_close_quote
shadow_position_749a1b3182070b4d3081a0f8,crypto_xrp_updown_daily,crypto_xrp_updown_event,xrp-up-or-down-on-july-1-2026,103969164718474111862121182153244985315866224399425867264746795676895650391952,2026-07-01T16:00:00Z,missing_pre_close_quote
shadow_position_359fc76f7930d077cf9ad715,crypto_btc_updown_15m,exploratory_crypto_updown_live_model|crypto_btc_updown_15m|outcome=up,btc-updown-15m-1782925200,50016693890723615376414729588098921971509257785533714315028863861126279377325,2026-07-01T17:15:00Z,missing_pre_close_quote
shadow_position_5736ee4d55f223d86e6de3f2,crypto_eth_updown_15m,crypto_eth_updown_15m,eth-updown-15m-1782929700,64404340145492398792250908420663625405029501244846147305408259164341493599532,2026-07-01T18:30:00Z,missing_pre_close_quote
shadow_position_8bdd32b1ea245bc4ddbdca2c,crypto_eth_updown_15m,exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=down,eth-updown-15m-1782929700,112103317158006144434491171750045424061747303379160341160125747805342535518467,2026-07-01T18:30:00Z,missing_pre_close_quote
shadow_position_8f3e63109d84c899aebb4ed1,crypto_eth_updown_15m,exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,eth-updown-15m-1782934200,107620369610662467641284878161275484111890840882476775424604289612078790881219,2026-07-01T19:45:00Z,missing_pre_close_quote
shadow_position_47dc2c8914c131ff27d812e6,crypto_btc_updown_daily,crypto_btc_updown_event,bitcoin-up-or-down-on-july-2-2026,72416801419123651892812826760064847522875240926748405920628206932844717891276,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_50a14c808bb61485bcc99a9b,crypto_btc_updown_daily,exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,bitcoin-up-or-down-on-july-2-2026,72416801419123651892812826760064847522875240926748405920628206932844717891276,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_71bd3067a3f8508211a12f01,crypto_btc_updown_daily,crypto_btc_updown_event,bitcoin-up-or-down-on-july-2-2026,105068887882187836388877473645777248531686732926096216121355472205440074476932,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_fbe62b23b368643113c0bf6b,crypto_btc_updown_daily,exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,bitcoin-up-or-down-on-july-2-2026,105068887882187836388877473645777248531686732926096216121355472205440074476932,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_9051ab02850b4cd29b952a67,crypto_eth_updown_daily,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,ethereum-up-or-down-on-july-2-2026,16021686629839282610880555346289629178896280296975503078900642558641120571580,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_9711acf31f8e1308c885c599,crypto_eth_updown_daily,crypto_eth_updown_event,ethereum-up-or-down-on-july-2-2026,53855646100834706748889273803999821053702564615604493601478667498735606571859,2026-07-02T16:00:00Z,missing_pre_close_quote
shadow_position_f1b953f8c74a4e238415929d,crypto_eth_updown_daily,crypto_eth_updown_event,ethereum-up-or-down-on-july-2-2026,53855646100834706748889273803999821053702564615604493601478667498735606571859,2026-07-02T16:00:00Z,missing_pre_close_quote
