token_id,market_slug,close_time,collection_priority,status,history_points,fetch_source,attempt_errors,error
95725145614032343525376796567389798430629193124652051582921449330063310030427,sol-updown-4h-1785888000,2026-08-05T04:00:00Z,focus_final,ok,5,short_close_window,1,
43975378191074358671281520872697918948044394157610457450863109826755838430110,will-solana-reach-130-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,26,short_close_window,1,
100884095534364268769321993699449844260443547762651923948519421267861169635220,will-ethereum-reach-2400-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,32,short_close_window,1,
93496916247677946874951464536517511991715588414847755700545460892672050036498,will-solana-reach-120-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,33,short_close_window,1,
15710525480448889254766605820312761373882786549757118431634104562205370863433,will-ethereum-reach-2300-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,32,short_close_window,1,
11122870307832213829937141164621963143556849554535072384599725110500454191759,will-bitcoin-reach-75k-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,34,short_close_window,1,
67618687138618616009474379841981387029656591298511163184190255433704137454173,will-ethereum-reach-2000-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,26,short_close_window,1,
107428272129048587583997315670529606325369032000682138145211150063313167372818,will-xrp-dip-to-1-in-july-2026,2026-08-01T04:00:00Z,focus_final,ok,28,short_close_window,1,
25763685223319524083191986935913634904809447145745901125985995347509432734794,us-x-iran-diplomatic-meeting-by-july-31-2026-20260622191708361,2026-07-31T23:59:00Z,focus_final,ok,31,short_close_window,1,
53309418792814126813253565209817598774351044039766281405658463259168910392637,will-the-ornn-b200-index-be-between-4pt00-and-5pt00-on-july-31-2026-20260626214212585,2026-07-31T23:59:00Z,focus_final,ok,38,short_close_window,1,
73236020982042322107719049752749478285487797346322886261660588599081906662415,will-google-have-the-best-ai-model-at-the-end-of-july-2026,2026-07-31T00:00:00Z,focus_final,ok,37,short_close_window,1,
93951476500003632791935289062898848593712753782086418087200571438021145488845,will-google-have-the-best-math-ai-model-at-the-end-of-july-2026,2026-07-31T00:00:00Z,focus_final,ok,31,short_close_window,1,
36015050921127306245266044699797268780268172446856063291868548314968920497494,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,2026-07-29T00:00:00Z,focus_final,ok,38,short_close_window,1,
10547381015916960267379463101229159185405356924982461726471550099674011526491,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,2026-07-29T00:00:00Z,focus_final,ok,38,short_close_window,1,
85882034462548533875562700055504379440850132693939381725631604498134489620181,will-xrp-dip-to-0pt5-july-13-19-2026,2026-07-20T04:00:00Z,focus_final,ok,34,short_close_window,1,
56527186903613370615775908564644354689644353352170438157656512134191242434722,will-xrp-dip-to-0pt6-july-13-19-2026,2026-07-20T04:00:00Z,focus_final,ok,34,short_close_window,1,
114964137300187455673686071186000057049854665542029467996086181303913053414179,will-xrp-dip-to-0pt7-july-13-19-2026,2026-07-20T04:00:00Z,focus_final,ok,34,short_close_window,1,
68099147950522191308134976209533771147823729818517018192391581768804443699549,will-lionel-messi-win-the-golden-ball-at-the-2026-fifa-world-cup-20260603194032283,2026-07-20T03:59:00Z,focus_final,ok,33,short_close_window,1,
54107343263387475730966095910471611039456828338034353328930651554538556391012,will-mike-maignan-win-the-golden-glove-at-the-2026-fifa-world-cup-20260603195307476,2026-07-20T03:59:00Z,focus_final,ok,33,short_close_window,1,
37089111703099330271756902756550617087324195263983091188635426682509248301097,will-5-matches-be-decided-by-penalty-shootout-during-the-2026-fifa-world-cup-20260610210228790,2026-07-20T03:59:00Z,focus_final,ok,33,short_close_window,1,
49886028487112281574279422474095181525913123582177075375309734310587117931078,will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup,2026-07-20T00:00:00Z,focus_final,ok,34,short_close_window,1,
19214394437683566921750936876376421489271269944393354497977881791256347396217,will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,2026-07-20T00:00:00Z,focus_final,ok,34,short_close_window,1,
18812649149814341758733697580460697418474693998558159483117100240528657629879,will-argentina-win-the-2026-fifa-world-cup-245,2026-07-20T00:00:00Z,focus_final,ok,34,short_close_window,1,
20497841437793312581791312697077475910366090223612451471416274644489891395134,bitcoin-above-62k-on-july-16-2026,2026-07-16T16:00:00Z,focus_final,ok,34,short_close_window,1,
74751467310548001523578174536683436613056298730683710137283385031618966718497,bitcoin-above-64k-on-july-16-2026,2026-07-16T16:00:00Z,focus_final,ok,34,short_close_window,1,
101210529767768522109521013327011182791765840362085947967089633962337103758101,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,2026-07-15T03:59:00Z,focus_final,ok,31,short_close_window,1,
76687687901848733791230602614619773894396137158710677490208966731067789329851,mlb-al-nl-2026-07-14-total-8pt5,2026-07-15T00:00:00Z,focus_final,ok,9,short_close_window,1,
56364511605477579236001090232222955613662932873061549008311567670815856050769,mlb-al-nl-2026-07-14-total-7pt5,2026-07-15T00:00:00Z,focus_final,ok,10,short_close_window,1,
52261365243516817473495855032579220012931048638423754381932900155844077398242,will-jordan-walker-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856743,2026-07-13T23:59:00Z,focus_final,ok,17,short_close_window,1,
17761142320939730650177912236237637988988609904546776372920350104247854085727,will-jac-caglianone-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856742,2026-07-13T23:59:00Z,focus_final,ok,17,short_close_window,1,
106572797405540473377240335596599132759125961324255838950491653791357331997305,will-jordan-walker-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856743,2026-07-13T23:59:00Z,focus_final,ok,17,short_close_window,1,
115533238225868603108274286752495680653635818041116254050671667599763901594715,will-ben-rice-advance-to-the-semifinals-of-the-2026-mlb-home-run-derby-20260709211856740,2026-07-13T23:59:00Z,focus_final,ok,17,short_close_window,1,
33145602481672952893736840073987236393121044236137891107431869929760837470830,will-kyle-schwarber-win-the-2026-mlb-home-run-derby,2026-07-13T23:59:00Z,focus_final,ok,17,short_close_window,1,
15579232773398251307282915471792114310844694494654532312907387009654692860923,will-argentina-reach-the-semifinals-at-the-2026-fifa-world-cup-20260602145149745,2026-07-13T00:00:00Z,focus_final,ok,30,short_close_window,1,
21826507280449134214629923518994881403855164454312297439671322865525102121141,val-tyloo-te-2026-07-12-total-games-2pt5,2026-07-12T17:00:00Z,focus_final,ok,10,short_close_window,1,
2251737422960156638808378057820262985130730414592695412432055295258184711036,val-tyloo-te-2026-07-12-game3-round-total-21pt5,2026-07-12T17:00:00Z,focus_final,ok,10,short_close_window,1,
64153709723552911606489345017025095504754803331793905231147772925792537283580,will-the-price-of-bitcoin-be-between-62000-64000-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
55528382984414578308889318228828883074034060780071686209945402023097780571705,bitcoin-above-64k-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
75535028271238048717865371296248554317946914069243118831215160882128523849875,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
70309830531163204677182090973720805007230053781477999768677408281939728399196,will-the-price-of-bitcoin-be-between-62000-64000-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
86942942731248835776259193090741420335130406064059668589473719630507327367051,bitcoin-above-64k-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
108814265557335048195152581750913757543935325549626627558610456826613096418940,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
20586590567682337243649314468465218863766723074710903915323806603797627003369,xrp-above-1pt1-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
50977698590300032741535835435558027865585908844661185430427062221844113796746,will-the-price-of-ethereum-be-between-1700-1800-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
59890312346962300075151779792396376789109854434895184276252143392373091389785,ethereum-above-1800-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
108027398472302443150464487655820976321462066799725937973190977980554992424177,ethereum-above-1800-on-july-12-2026,2026-07-12T16:00:00Z,focus_final,ok,34,short_close_window,1,
75671870297160145762494948756221055784251308418589518487469641260554357178644,val-nova-fpx-2026-07-12-total-games-2pt5,2026-07-12T14:00:00Z,focus_final,ok,10,short_close_window,1,
20136746619063568973738277652028149981498043474795089012547311685090466604748,val-nova-fpx-2026-07-12-game1-round-total-21pt5,2026-07-12T14:00:00Z,focus_final,ok,9,short_close_window,1,
83353740063301337242734729745885378493188100076217980058743685730607530577772,val-nova-fpx-2026-07-12-total-games-2pt5,2026-07-12T14:00:00Z,focus_final,ok,10,short_close_window,1,
14398367888676648421806539572052326353401892515809739796278498450454933130776,val-sad-srb-2026-07-11-game3-round-total-21pt5,2026-07-12T02:00:00Z,focus_final,ok,3,short_close_window,1,
22977220121936888671053556775814656829923108179761155125259075462814514034328,will-jannik-sinner-be-the-2026-mens-wimbledon-winner,2026-07-12T00:00:00Z,focus_final,ok,38,short_close_window,1,
97691106274962537327436888095367701929558923858062496006649961287568421332519,val-bbl1-nrg-2026-07-11-game3-round-total-21pt5,2026-07-11T19:45:00Z,focus_final,ok,9,short_close_window,1,
70602871540178377200470545934807626742304624572845938133134806462802950431069,val-bbl1-nrg-2026-07-11-total-games-2pt5,2026-07-11T19:45:00Z,focus_final,ok,9,short_close_window,1,
18237340609439602555259079306566918036164241218734979256371277407958876329524,val-100t1-ns1-2026-07-11-total-games-2pt5,2026-07-11T17:00:00Z,focus_final,ok,5,short_close_window,1,
80175748805860480927479961230167126958504343753637342951718900719208211997064,ethereum-up-or-down-on-july-11-2026,2026-07-11T16:00:00Z,focus_final,ok,10,short_close_window,1,
80821783205353867232708443400625071236993989645929795573374709566591862217753,ethereum-above-1800-on-july-11-2026,2026-07-11T16:00:00Z,focus_final,ok,34,short_close_window,1,
68251495945275543885062168102758306348961780723394750616218772714765320813409,lol-hle1-g2-2026-07-05-game5-kill-over-30pt5,2026-07-05T14:00:00Z,focus_final,ok,10,short_close_window,1,
102190624741220763966129194312524801551528939292955751357610490906297973503528,lol-tsw-tes-2026-07-04-game2-kill-over-30pt5,2026-07-05T09:00:00Z,focus_final,ok,9,short_close_window,1,
33530429943360373054595039678477922135580996783750777538392724478384723531268,lol-tsw-tes-2026-07-04-game-handicap-home-2pt5,2026-07-05T09:00:00Z,focus_final,ok,10,short_close_window,1,
84853658415200810288101099865856085102981207421863615897992917153317954746467,val-100t1-bbl1-2026-07-04-total-games-2pt5,2026-07-04T17:00:00Z,focus_final,ok,9,short_close_window,1,
106403494173745945712618013411865565949479738942503646166426185807843346311144,val-100t1-bbl1-2026-07-04,2026-07-04T17:00:00Z,focus_final,ok,9,short_close_window,1,
11054728886141638064306468461994919278870329161719543188258566217845794768540,val-rrq1-edg1-2026-07-04-map-handicap-home-1pt5,2026-07-04T17:00:00Z,focus_final,ok,9,short_close_window,1,
100488798831783217716114782002425141486242660258480471496412910201880207917876,val-rrq1-edg1-2026-07-04,2026-07-04T17:00:00Z,focus_final,ok,9,short_close_window,1,
50771311805338368964020097639756248056470721923795027749194955348287834615038,bitcoin-up-or-down-on-july-3-2026,2026-07-03T16:00:00Z,focus_final,ok,9,short_close_window,1,
82863221626868840911670131219567265287902417688664810006053164033778087559789,sol-updown-15m-1783040400,2026-07-03T01:15:00Z,focus_final,ok,4,short_close_window,1,
79578447977036871947610607095966963798599162711855390717414165188505123328604,val-rrq1-100t1-2026-07-02,2026-07-02T17:00:00Z,focus_final,ok,20,short_close_window,1,
105068887882187836388877473645777248531686732926096216121355472205440074476932,bitcoin-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
53855646100834706748889273803999821053702564615604493601478667498735606571859,ethereum-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
16021686629839282610880555346289629178896280296975503078900642558641120571580,ethereum-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
72416801419123651892812826760064847522875240926748405920628206932844717891276,bitcoin-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
23711838747646459680217145220063050152324411345417075523690620234360292287187,xrp-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
79317271173125372383911388169333296393085827383705789603562652871948645253374,xrp-up-or-down-on-july-2-2026,2026-07-02T16:00:00Z,focus_final,ok,10,short_close_window,1,
107620369610662467641284878161275484111890840882476775424604289612078790881219,eth-updown-15m-1782934200,2026-07-01T19:45:00Z,focus_final,ok,4,short_close_window,1,
51286356739900665958517218755996001284098353481701052787607366451031876880511,bitcoin-above-58k-on-july-1-2026,2026-07-01T16:00:00Z,focus_final,ok,34,short_close_window,1,
15133965731545014374900920914914504425237364675649508262471768181374994898591,ethereum-up-or-down-on-july-1-2026,2026-07-01T16:00:00Z,focus_final,ok,10,short_close_window,1,
62491181956793915949619523167742425136466075088627377767605544091350002944371,bitcoin-up-or-down-on-july-1-2026,2026-07-01T16:00:00Z,focus_final,ok,10,short_close_window,1,
103969164718474111862121182153244985315866224399425867264746795676895650391952,xrp-up-or-down-on-july-1-2026,2026-07-01T16:00:00Z,focus_final,ok,10,short_close_window,1,
95970913262670810505582938582435436880687579142255885096913338033013971150243,ethereum-up-or-down-july-1-2026-9am-et,2026-07-01T14:00:00Z,focus_final,ok,9,short_close_window,1,
1563162945160401095963867324951055209473710269890417949906585810475714457575,bitcoin-up-or-down-july-1-2026-9am-et,2026-07-01T14:00:00Z,focus_final,ok,9,short_close_window,1,
83604265270440764754215145336323164396216449255225422923446683900950023773194,criccpl-stl-guy-2026-08-19-toss-match-double-stl,2026-08-26T19:00:00Z,general,ok,2,short_close_window,1,
94893731788085203926015556992043581301183585350273097915123962120235538167022,criccpl-stl-guy-2026-08-19-toss-match-double-stl,2026-08-26T19:00:00Z,general,ok,2,short_close_window,1,
101133447972658137006295773495493423759288829685657189995928365311043391775944,criccpl-stl-guy-2026-08-19-toss-winner,2026-08-26T19:00:00Z,general,ok,2,short_close_window,1,
41899800808542651728457876418221646190773116310555318233309926036159889294387,criccpl-stl-guy-2026-08-19-toss-winner,2026-08-26T19:00:00Z,general,ok,2,short_close_window,1,
84840236414511974327716702795774557171478308154133684837838695058213348541763,itf-jeffrey-dellave-2026-08-19-first-set-total-9pt5,2026-08-26T04:00:00Z,general,ok,5,short_close_window,1,
86831151379144648023471861915895900438595180841467806180871256116433734144434,itf-jeffrey-dellave-2026-08-19-first-set-total-9pt5,2026-08-26T04:00:00Z,general,ok,5,short_close_window,1,
68489066340761365993468353330017532840911801050116155478305009743415790783223,itf-jeffrey-dellave-2026-08-19-first-set-total-8pt5,2026-08-26T04:00:00Z,general,ok,5,short_close_window,1,
