shadow_position_id,signal_cohort,category,market_slug,close_reason,quantity,entry_fill_price,entry_mid_price,line_price,line_kind,exit_price,model_probability,model_claimed_edge_per_share,execution_cost_per_share,line_movement_per_share,settlement_surprise_per_share,total_pnl_per_share,execution_cost_usdc,line_movement_usdc,settlement_surprise_usdc,total_pnl_usdc
shadow_position_7c96f49a1cf297f6c5c0d9ed,unknown,unknown,val-tyloo-te-2026-07-12-game3-round-total-21pt5,shadow_stop_loss,20.0,0.5,0.495,0.505,closing,0.21,0.584156,0.089156,0.005,0.01,-0.295,-0.29,0.1,0.2,-5.9,-5.8
shadow_position_574dc13a43d33b4d87325899,near_miss_learning|unknown,unknown,val-sad-srb-2026-07-11-game3-round-total-21pt5,shadow_stop_loss,20.0,0.5,0.48,0.005,closing,1e-06,0.553111,0.073111,0.02,-0.475,-0.004999,-0.499999,0.4,-9.5,-0.09998,-9.99998
shadow_position_fc732a6a6f3b623d4b9ba126,near_miss_learning|crypto,crypto,will-the-price-of-bitcoin-be-between-62000-64000-on-july-12-2026,shadow_take_profit,38.461538,0.26,0.255,0.0065,closing,0.33,0.313776,0.058776,0.005,-0.2485,0.3235,0.07,0.192308,-9.557692,12.442308,2.692308
shadow_position_e8b23580375384efaa10aea6,near_miss_learning|crypto,crypto,bitcoin-above-64k-on-july-12-2026,shadow_take_profit,26.315789,0.38,0.375,0.014,closing,0.48,0.430368,0.055368,0.005,-0.361,0.466,0.1,0.131579,-9.5,12.263158,2.631579
shadow_position_47ce6917985a6ecebfcd6237,near_miss_learning|macro_rates,macro_rates,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,shadow_take_profit,48.076923,0.208,0.2075,0.242,closing,0.261,0.266276,0.058776,0.0005,0.0345,0.019,0.053,0.024038,1.658654,0.913462,2.548077
shadow_position_5a49314ee89afb4af11f378b,crypto,crypto,will-the-price-of-bitcoin-be-between-64000-66000-on-july-12-2026,shadow_take_profit,22.727273,0.44,0.435,0.993,closing,0.56,0.524156,0.089156,0.005,0.558,-0.433,0.12,0.113636,12.681818,-9.840909,2.727273
shadow_position_f99366d1efa9c8b95fd2c131,crypto,crypto,will-the-price-of-bitcoin-be-between-62000-64000-on-july-12-2026,shadow_take_profit,21.164021,0.4725,0.445,0.9935,closing,0.6,0.534156,0.089156,0.0275,0.5485,-0.3935,0.1275,0.582011,11.608466,-8.328042,2.698413
shadow_position_1b285ec51171139a6f516769,crypto,crypto,bitcoin-above-64k-on-july-12-2026,shadow_take_profit,20.0,0.5,0.495,0.986,closing,0.64,0.584156,0.089156,0.005,0.491,-0.346,0.14,0.1,9.82,-6.92,2.8
shadow_position_10964165e07475f1b78a1519,unknown,unknown,val-nova-fpx-2026-07-12-game1-round-total-21pt5,shadow_stop_loss,20.833333,0.48,0.475,0.0005,closing,1e-06,0.564156,0.089156,0.005,-0.4745,-0.000499,-0.479999,0.104167,-9.885417,-0.010396,-9.999979
shadow_position_bd742f2f5e5cd62a5cd3691c,unknown,unknown,val-nova-fpx-2026-07-12-total-games-2pt5,shadow_stop_loss,20.408163,0.49,0.485,0.0005,closing,0.06,0.574156,0.089156,0.005,-0.4845,0.0595,-0.43,0.102041,-9.887755,1.214286,-8.77551
