shadow_position_id,signal_cohort,category,market_slug,close_reason,quantity,entry_fill_price,entry_mid_price,line_price,line_kind,exit_price,model_probability,model_claimed_edge_per_share,execution_cost_per_share,line_movement_per_share,settlement_surprise_per_share,total_pnl_per_share,execution_cost_usdc,line_movement_usdc,settlement_surprise_usdc,total_pnl_usdc
shadow_position_4d871f00df4be882fa342845,near_miss_learning|exploratory_historical_rule|crypto_sol_updown_event|outcome=down,crypto,sol-updown-4h-1785888000,shadow_take_profit,20.0,0.5,0.495,0.675,closing,0.64,0.584156,0.089156,0.005,0.18,-0.035,0.14,0.1,3.6,-0.7,2.8
shadow_position_d31c3eda73eabcc2ba5f43e4,ai_model_leader,ai_model_leader,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,shadow_time_exit,31.25,0.32,0.315,0.285,latest_provisional,0.32,0.431506,0.116506,0.005,-0.03,0.035,0.0,0.15625,-0.9375,1.09375,0.0
shadow_position_acd6279101a4c6efa4f922d2,macro_economy,macro_economy,will-the-us-economy-be-overheating-at-the-end-of-2026,shadow_time_exit,27.027027,0.37,0.355,0.345,latest_provisional,0.35,0.471506,0.116506,0.015,-0.01,0.005,-0.02,0.405405,-0.27027,0.135135,-0.540541
shadow_position_5abbb89849144880d95faa13,near_miss_learning|policy_legal,policy_legal,will-aj-dybantsa-win-the-2026-27-nba-rookie-of-the-year-20260624161716880,shadow_time_exit,47.619048,0.21,0.205,0.205,latest_provisional,0.2,0.263776,0.058776,0.005,0.0,-0.005,-0.01,0.238095,0.0,-0.238095,-0.47619
shadow_position_1b0ec7017167546bb0be404b,ai_model_leader,ai_model_leader,will-openai-have-a-1-ai-model-by-december-31-2026,shadow_time_exit,28.571429,0.35,0.34,0.32,latest_provisional,0.34,0.456506,0.116506,0.01,-0.02,0.02,-0.01,0.285714,-0.571429,0.571429,-0.285714
shadow_position_b08067530898a49db9a3c275,ai_model_leader,ai_model_leader,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,shadow_time_exit,29.411765,0.34,0.335,0.285,latest_provisional,0.29,0.451506,0.116506,0.005,-0.05,0.005,-0.05,0.147059,-1.470588,0.147059,-1.470588
shadow_position_caf88d9e5e1c657e4a0a477a,structural|longshot_no|ai_model_leader,ai_model_leader,will-a-chinese-company-have-the-best-ai-model-by-december-31,shadow_time_exit,11.111111,0.9,0.895,0.905,latest_provisional,0.9,,,0.005,0.01,-0.005,0.0,0.055556,0.111111,-0.055556,0.0
shadow_position_2be56f7fe1bc623c86738d5e,structural|longshot_no|ai_model_leader,ai_model_leader,will-moonshot-have-a-1-ai-model-by-december-31-2026,shadow_time_exit,11.111111,0.9,0.895,0.9,latest_provisional,0.92,,,0.005,0.005,0.02,0.02,0.055556,0.055556,0.222222,0.222222
shadow_position_fe4ea85a91419efef893877c,structural|longshot_no|ai_model_leader,ai_model_leader,will-openai-announce-glasses-in-2026,shadow_time_exit,11.111111,0.9,0.895,0.905,latest_provisional,0.89,,,0.005,0.01,-0.015,-0.01,0.055556,0.111111,-0.166667,-0.111111
shadow_position_ea50b55f54fe39889e4884c0,structural|longshot_no|crypto_btc_special,crypto_btc_special,will-bitcoin-reach-95000-by-december-31-2026-from-june-8,shadow_time_exit,11.111111,0.9,0.895,0.785,latest_provisional,0.89,,,0.005,-0.11,0.105,-0.01,0.055556,-1.222222,1.166667,-0.111111
