shadow_position_id,signal_cohort,category,market_id,token_id,market_slug,question,status,opened_at,close_time,entry_price,line_price,line_bid,line_timestamp,line_kind,clv,clv_pct,clv_vs_bid,beat_close,quote_count
shadow_position_4add0f7fcc628eb025631dba,near_miss_learning|macro_economy,macro_economy,0x50e3ee8f93a464d04ea2cea6efff45c902f43642aedbf43f7afdc899e10f71d8,80335609827602144973400700286800607989091471408666208830272936565190453177519,will-the-us-economy-be-in-a-soft-landing-at-the-end-of-2026,Will the US economy be in a soft landing at the end of 2026?,closed,2026-08-02T09:57:51Z,2027-01-31T00:00:00Z,0.46,0.385,0.38,2026-08-20T19:54:59Z,latest_provisional,-0.075,-0.163043,-0.08,False,1087
shadow_position_26c6ed0d42c5644e0820e70a,near_miss_learning|policy_legal,policy_legal,0x577f5c547a480e05f14cd3a899b68bf6ad8b639de9b72fb6db8d2ef697f6fc63,46567293169762615147895646425485617554441306631537089020538395786901322917919,will-aj-dybantsa-win-the-2026-27-nba-rookie-of-the-year-20260624161716880,Will AJ Dybantsa win the 2026-27 NBA Rookie of the Year?,closed,2026-08-02T13:29:13Z,2027-05-31T23:59:00Z,0.21,0.205,0.2,2026-08-20T19:54:59Z,latest_provisional,-0.005,-0.02381,-0.01,False,1272
shadow_position_4d871f00df4be882fa342845,near_miss_learning|exploratory_historical_rule|crypto_sol_updown_event|outcome=down,crypto,0x2d0a2590559b13b20cbf6184cfc3d8adc9d47a2a19596c0a88ecc55de2532630,95725145614032343525376796567389798430629193124652051582921449330063310030427,sol-updown-4h-1785888000,"Solana Up or Down - August 4, 8:00PM-12:00AM ET",closed,2026-08-04T20:00:33Z,2026-08-05T04:00:00Z,0.5,0.675,0.64,2026-08-05T00:48:23Z,closing,0.175,0.35,0.14,True,213
shadow_position_d31c3eda73eabcc2ba5f43e4,ai_model_leader,ai_model_leader,0xe944062b6d02b59c5f6c39cd4d35538918053c0c7e5f8d7fa0ab1d4edb9baa46,101106027123457230511923560603100933782439732335133293995646065340833826927163,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,Will Anthropic have the best AI model at the end of December 2026?,closed,2026-08-05T13:56:43Z,2026-12-31T00:00:00Z,0.32,0.285,0.27,2026-08-20T13:50:24Z,latest_provisional,-0.035,-0.109375,-0.05,False,636
shadow_position_acd6279101a4c6efa4f922d2,macro_economy,macro_economy,0x4e54fc57fcd566b9c7a25fe7a6ed9596ffe1eb95489ba25575b1c4af0ac798f6,6527439894417506591879968948282318689407350936676236354099012095831027111289,will-the-us-economy-be-overheating-at-the-end-of-2026,Will the US economy be overheating at the end of 2026?,closed,2026-08-05T14:00:02Z,2027-01-31T00:00:00Z,0.37,0.345,0.34,2026-08-20T19:54:59Z,latest_provisional,-0.025,-0.067568,-0.03,False,986
shadow_position_5abbb89849144880d95faa13,near_miss_learning|policy_legal,policy_legal,0x577f5c547a480e05f14cd3a899b68bf6ad8b639de9b72fb6db8d2ef697f6fc63,46567293169762615147895646425485617554441306631537089020538395786901322917919,will-aj-dybantsa-win-the-2026-27-nba-rookie-of-the-year-20260624161716880,Will AJ Dybantsa win the 2026-27 NBA Rookie of the Year?,closed,2026-08-06T18:02:34Z,2027-05-31T23:59:00Z,0.21,0.205,0.2,2026-08-20T19:54:59Z,latest_provisional,-0.005,-0.02381,-0.01,False,1272
shadow_position_1b0ec7017167546bb0be404b,ai_model_leader,ai_model_leader,0x6f3c4a19afe0621f5bfd39a18625ec392dcd695c34a708f02a52c96ed3436773,70793601446090039661054641455695184186449486414315553749871988541954441879851,will-openai-have-a-1-ai-model-by-december-31-2026,"Will OpenAI have a #1 AI model by December 31, 2026?",closed,2026-08-14T01:39:02Z,2026-12-31T00:00:00Z,0.35,0.32,0.31,2026-08-20T11:51:34Z,latest_provisional,-0.03,-0.085714,-0.04,False,65
shadow_position_b08067530898a49db9a3c275,ai_model_leader,ai_model_leader,0xe944062b6d02b59c5f6c39cd4d35538918053c0c7e5f8d7fa0ab1d4edb9baa46,101106027123457230511923560603100933782439732335133293995646065340833826927163,will-anthropic-have-the-best-ai-model-at-the-end-of-december-2026,Will Anthropic have the best AI model at the end of December 2026?,closed,2026-08-14T01:39:02Z,2026-12-31T00:00:00Z,0.34,0.285,0.27,2026-08-20T13:50:24Z,latest_provisional,-0.055,-0.161765,-0.07,False,636
shadow_position_caf88d9e5e1c657e4a0a477a,structural|longshot_no|ai_model_leader,ai_model_leader,0xca52ff40e910f20d6af4ae3b475f6fa00c4a31205d732cfb2c2e1d09dff21932,96397436209982671453637902269275725071267861171129419695794443407952680636718,will-a-chinese-company-have-the-best-ai-model-by-december-31,Will a Chinese company have the best AI model by December 31?,closed,2026-08-14T01:39:13Z,2026-12-31T00:00:00Z,0.9,0.905,0.9,2026-08-20T19:51:36Z,latest_provisional,0.005,0.005556,0.0,True,350
shadow_position_2be56f7fe1bc623c86738d5e,structural|longshot_no|ai_model_leader,ai_model_leader,0xd6e6a84dff227314b82e5ebc66f62611ef4f6c25a349c591f16bd699184a1e83,36136059052713963055376455066088612405225737607621775103472565534306327538275,will-moonshot-have-a-1-ai-model-by-december-31-2026,"Will Moonshot have a #1 AI model by December 31, 2026?",closed,2026-08-14T01:39:13Z,2026-12-31T00:00:00Z,0.9,0.9,0.89,2026-08-20T19:23:42Z,latest_provisional,0.0,0.0,-0.01,False,380
shadow_position_fe4ea85a91419efef893877c,structural|longshot_no|ai_model_leader,ai_model_leader,0x0a7e49c536cc4a9ddfaca10ac9aec476e358c2d29a9e13d5cc320ad0335374a8,7860813783788365228940933442491468403797619020807014292210819082168277140152,will-openai-announce-glasses-in-2026,Will OpenAI announce glasses in 2026?,closed,2026-08-14T01:39:13Z,2026-12-31T00:00:00Z,0.9,0.905,0.9,2026-08-20T19:44:35Z,latest_provisional,0.005,0.005556,0.0,True,567
shadow_position_ea50b55f54fe39889e4884c0,structural|longshot_no|crypto_btc_special,crypto_btc_special,0xacec7e5b90ccb1ac4c950e3aff18156d6ce1bb7b0c87c001a281279412dca784,101492056351751833920629364005167338435431925816936377971961169353021340085257,will-bitcoin-reach-95000-by-december-31-2026-from-june-8,"Will Bitcoin reach $95,000 by December 31, 2026?",closed,2026-08-14T01:39:13Z,2027-01-01T05:00:00Z,0.9,0.785,0.78,2026-08-20T19:34:12Z,latest_provisional,-0.115,-0.127778,-0.12,False,514
