cell_key,rows,actual_win_rate,mean_market_probability,raw_bias,shrunk_bias,market_brier
category_probability|unknown|0.10-0.20,14,0.2857142857142857,0.16071428571428573,0.12499999999999997,0.044871794871794865,0.22212857142857143
category_probability|unknown|0.20-0.30,24,0.5,0.26000000000000006,0.23999999999999994,0.11755102040816323,0.3019895833333333
category_probability|unknown|0.30-0.40,63,0.6825396825396826,0.3570634920634921,0.3254761904761905,0.23301136363636366,0.32928373015873025
category_probability|unknown|0.40-0.50,100,0.68,0.47224999999999967,0.20775000000000038,0.16620000000000032,0.24993124999999985
category_probability|unknown|0.50-0.60,412,0.4587378640776699,0.5060072815533977,-0.04726941747572777,-0.044565217391303986,0.24966547330097102
category_probability|unknown|0.60-0.70,68,0.3088235294117647,0.6417647058823526,-0.33294117647058785,-0.24344086021505348,0.33113970588235303
category_probability|unknown|0.70-0.80,24,0.5416666666666666,0.7385416666666668,-0.19687500000000013,-0.09642857142857149,0.28323020833333334
category_probability|unknown|0.80-0.90,13,0.6923076923076923,0.8419230769230768,-0.14961538461538448,-0.05118421052631575,0.2362903846153846
category_time_probability|unknown|1-3d|0.10-0.20,8,0.375,0.16562500000000002,0.20937499999999998,0.05075757575757575,0.280440625
category_time_probability|unknown|1-3d|0.20-0.30,12,0.3333333333333333,0.25083333333333335,0.08249999999999996,0.026756756756756747,0.22449583333333334
category_time_probability|unknown|1-3d|0.30-0.40,14,0.5714285714285714,0.35,0.22142857142857142,0.07948717948717948,0.300225
category_time_probability|unknown|1-3d|0.40-0.50,15,0.4666666666666667,0.4323333333333334,0.03433333333333327,0.012874999999999977,0.242565
category_time_probability|unknown|1-3d|0.50-0.60,30,0.5333333333333333,0.5273333333333334,0.005999999999999894,0.003272727272727215,0.24544999999999997
category_time_probability|unknown|1-3d|0.60-0.70,18,0.3888888888888889,0.646388888888889,-0.2575000000000001,-0.10779069767441866,0.31198750000000003
category_time_probability|unknown|1-3d|0.70-0.80,12,0.75,0.7462499999999999,0.003750000000000142,0.0012162162162162623,0.18697708333333332
category_time_probability|unknown|1-6h|0.30-0.40,11,0.6363636363636364,0.34818181818181815,0.2881818181818182,0.08805555555555557,0.32101818181818187
category_time_probability|unknown|1-6h|0.40-0.50,20,0.8,0.4710000000000001,0.32899999999999996,0.1462222222222222,0.24653249999999996
category_time_probability|unknown|1-6h|0.50-0.60,112,0.44642857142857145,0.5051785714285716,-0.058750000000000135,-0.04802919708029208,0.24938080357142853
category_time_probability|unknown|1-6h|0.60-0.70,11,0.36363636363636365,0.6518181818181819,-0.2881818181818182,-0.08805555555555557,0.32101818181818187
category_time_probability|unknown|3-7d|0.30-0.40,29,0.7241379310344828,0.3631034482758621,0.36103448275862066,0.1938888888888889,0.3369999999999999
category_time_probability|unknown|3-7d|0.40-0.50,13,0.46153846153846156,0.4653846153846154,-0.0038461538461538325,-0.001315789473684206,0.26591923076923074
category_time_probability|unknown|3-7d|0.50-0.60,36,0.5277777777777778,0.5097222222222223,0.01805555555555549,0.010655737704917994,0.25269305555555555
category_time_probability|unknown|3-7d|0.60-0.70,30,0.26666666666666666,0.6356666666666667,-0.36900000000000005,-0.2012727272727273,0.3377666666666666
category_time_probability|unknown|6-24h|0.30-0.40,9,0.7777777777777778,0.35944444444444446,0.41833333333333333,0.11073529411764706,0.35972499999999996
category_time_probability|unknown|6-24h|0.40-0.50,52,0.75,0.4859615384615384,0.2640384615384616,0.17831168831168837,0.2493663461538461
category_time_probability|unknown|6-24h|0.50-0.60,234,0.4444444444444444,0.5030982905982905,-0.058653846153846056,-0.0529922779922779,0.24987638888888902
category_time_probability|unknown|6-24h|0.60-0.70,9,0.2222222222222222,0.6405555555555557,-0.41833333333333345,-0.11073529411764708,0.359725
probability|all|0.10-0.20,14,0.2857142857142857,0.16071428571428573,0.12499999999999997,0.044871794871794865,0.22212857142857143
probability|all|0.20-0.30,24,0.5,0.26000000000000006,0.23999999999999994,0.11755102040816323,0.3019895833333333
probability|all|0.30-0.40,63,0.6825396825396826,0.3570634920634921,0.3254761904761905,0.23301136363636366,0.32928373015873025
probability|all|0.40-0.50,100,0.68,0.47224999999999967,0.20775000000000038,0.16620000000000032,0.24993124999999985
probability|all|0.50-0.60,412,0.4587378640776699,0.5060072815533977,-0.04726941747572777,-0.044565217391303986,0.24966547330097102
probability|all|0.60-0.70,68,0.3088235294117647,0.6417647058823526,-0.33294117647058785,-0.24344086021505348,0.33113970588235303
probability|all|0.70-0.80,24,0.5416666666666666,0.7385416666666668,-0.19687500000000013,-0.09642857142857149,0.28323020833333334
probability|all|0.80-0.90,13,0.6923076923076923,0.8419230769230768,-0.14961538461538448,-0.05118421052631575,0.2362903846153846
time_probability|all|1-3d|0.10-0.20,8,0.375,0.16562500000000002,0.20937499999999998,0.05075757575757575,0.280440625
time_probability|all|1-3d|0.20-0.30,12,0.3333333333333333,0.25083333333333335,0.08249999999999996,0.026756756756756747,0.22449583333333334
time_probability|all|1-3d|0.30-0.40,14,0.5714285714285714,0.35,0.22142857142857142,0.07948717948717948,0.300225
time_probability|all|1-3d|0.40-0.50,15,0.4666666666666667,0.4323333333333334,0.03433333333333327,0.012874999999999977,0.242565
time_probability|all|1-3d|0.50-0.60,30,0.5333333333333333,0.5273333333333334,0.005999999999999894,0.003272727272727215,0.24544999999999997
time_probability|all|1-3d|0.60-0.70,18,0.3888888888888889,0.646388888888889,-0.2575000000000001,-0.10779069767441866,0.31198750000000003
time_probability|all|1-3d|0.70-0.80,12,0.75,0.7462499999999999,0.003750000000000142,0.0012162162162162623,0.18697708333333332
