signal_cohort,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_sell_proceeds_usdc,shadow_open_mark_value_usdc,shadow_open_cost_basis_usdc,first_evidence_at_utc,last_evidence_at_utc,shadow_total_pnl_usdc,shadow_roi,evidence_elapsed_hours,shadow_monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,shadow_promoted,generated_at_utc
tennis_tennis_total,6,6,0,60.0,53.885468525778975,0.0,0.0,2026-07-05T19:32:07Z,2026-08-15T15:01:03Z,-6.114531474221025,-0.10190885790368374,1060.4558765730555,-4.151481224908411,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 24.151481224908412, ""pnl_remaining_usdc"": 6.114531474221025, ""roi_remaining"": 0.13190885790368373, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
tennis_tennis_winner,3,3,0,30.0,27.66903938994953,0.0,0.0,2026-07-07T09:14:11Z,2026-07-10T09:46:26Z,-2.3309606100504716,-0.07769868700168239,1022.7547654641667,-1.640952157747955,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 21.640952157747954, ""pnl_remaining_usdc"": 2.3309606100504716, ""roi_remaining"": 0.10769868700168239, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-18T23:59:28Z
unknown,8,8,0,80.0,39.54653009948546,0.0,0.0,2026-07-05T00:38:39Z,2026-07-13T10:05:49Z,-40.45346990051454,-0.5056683737564318,1079.346987688611,-26.985296351017748,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 46.98529635101775, ""pnl_remaining_usdc"": 40.45346990051454, ""roi_remaining"": 0.5356683737564318, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
worldcup,10,10,0,100.0,77.61965394479932,0.0,0.0,2026-07-07T09:21:06Z,2026-07-13T10:02:37Z,-22.380346055200675,-0.22380346055200676,1022.6394876905555,-15.757116123225318,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 35.757116123225316, ""pnl_remaining_usdc"": 22.380346055200675, ""roi_remaining"": 0.25380346055200675, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
worldcup_2026_winner_fundamental,3,3,0,30.0,23.668526930564568,0.0,0.0,2026-07-02T15:45:23Z,2026-07-15T20:17:19Z,-6.331473069435432,-0.2110491023145144,1136.2347654705554,-4.0120763318691255,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 24.012076331869125, ""pnl_remaining_usdc"": 6.331473069435432, ""roi_remaining"": 0.2410491023145144, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-18T23:59:28Z
ai_model_leader,12,12,0,120.0,124.83394431923844,0.0,0.0,2026-07-15T08:33:34Z,2026-08-17T01:40:16Z,4.833944319238441,0.040282869326987006,855.4257144522222,4.0686641178087095,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 15.931335882191291, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,False,2026-08-19T23:59:06Z
baseball_mlb_match,5,5,0,50.0,43.033271584759,0.0,0.0,2026-07-14T03:25:09Z,2026-07-18T00:49:00Z,-6.9667284152410005,-0.13933456830482002,884.5659922358333,-5.670627746259825,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 25.670627746259825, ""pnl_remaining_usdc"": 6.9667284152410005, ""roi_remaining"": 0.16933456830482002, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
basketball_nba_match,4,4,0,40.0,26.576394610292912,0.0,0.0,2026-07-17T19:57:38Z,2026-08-06T02:23:54Z,-13.423605389707088,-0.3355901347426772,796.0246033494445,-12.141579343043936,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 32.14157934304394, ""pnl_remaining_usdc"": 13.423605389707088, ""roi_remaining"": 0.3655901347426772, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
crypto,22,22,0,220.0,212.4047197196901,0.0,0.0,2026-07-10T10:07:02Z,2026-07-13T14:06:05Z,-7.5952802803099075,-0.03452400127413594,973.8679366847222,-5.615342281866711,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 25.61534228186671, ""pnl_remaining_usdc"": 7.5952802803099075, ""roi_remaining"": 0.06452400127413593, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
crypto_btc_updown_event,3,3,0,30.0,25.011524822695037,0.0,0.0,2026-07-01T13:16:44Z,2026-07-01T21:33:50Z,-4.988475177304963,-0.16628250591016544,1186.7062700202775,-3.0266142670641822,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 23.026614267064183, ""pnl_remaining_usdc"": 4.988475177304963, ""roi_remaining"": 0.19628250591016544, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
crypto_eth_updown_15m,1,0,1,10.0,0.0,2.5641025641025636e-05,10.0,2026-07-01T18:28:38Z,2026-07-01T18:28:38Z,-9.99997435897436,-0.999997435897436,1181.5079366891666,-6.09389180967672,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 26.09389180967672, ""pnl_remaining_usdc"": 9.99997435897436, ""roi_remaining"": 1.029997435897436, ""settled_fills_remaining"": 3, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
crypto_eth_updown_event,2,2,0,20.0,18.140610545790935,0.0,0.0,2026-07-01T16:27:47Z,2026-07-01T22:21:35Z,-1.8593894542090652,-0.09296947271045326,1183.522103357778,-1.1311663746977716,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 21.13116637469777, ""pnl_remaining_usdc"": 1.8593894542090652, ""roi_remaining"": 0.12296947271045326, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
crypto_xrp_updown_event,3,3,0,30.0,34.640243902439025,0.0,0.0,2026-07-01T13:17:43Z,2026-07-02T00:39:16Z,4.640243902439025,0.1546747967479675,1186.689881137778,2.815373808152189,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 17.184626191847812, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",4,6,False,2026-08-19T23:59:06Z
equities_macro,4,4,0,40.0,37.59489268680445,0.0,0.0,2026-07-15T00:46:14Z,2026-07-20T15:53:09Z,-2.4051073131955505,-0.060127682829888764,863.2146033619443,-2.0060796686656523,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 22.006079668665652, ""pnl_remaining_usdc"": 2.4051073131955505, ""roi_remaining"": 0.09012768282988876, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
esports_match,6,6,0,60.0,49.58449953930716,0.0,0.0,2026-07-05T00:40:26Z,2026-07-08T00:56:00Z,-10.41550046069284,-0.17359167434488068,1103.3112700308334,-6.796957971330698,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 26.7969579713307, ""pnl_remaining_usdc"": 10.41550046069284, ""roi_remaining"": 0.20359167434488068, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
exploratory_crypto_updown_live_model|crypto_btc_updown_15m|outcome=up,2,2,0,20.0,0.0,0.0,0.0,2026-07-01T17:13:32Z,2026-07-04T06:16:32Z,-20.0,-1.0,1182.759603366389,-12.174916998358004,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 32.174916998358, ""pnl_remaining_usdc"": 20.0, ""roi_remaining"": 1.03, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
